bodyid,group,Brain_type,VNC_type,root_side,neuropil,Cluster
12965,23811,DNxn117,DNxn117,RHS,xn,0
12716,23811,DNxn117,DNxn117,RHS,xn,0
12640,23811,DNxn117,DNxn117,LHS,xn,0
12779,23813,DNut048,DNut048,RHS,ut,0
12882,23813,DNut048,DNut048,LHS,ut,0
12466,23953,DNfl030,DNfl030,LHS,fl,0
12451,23953,DNfl030,DNfl030,RHS,fl,0
12619,24102,DNnt015,DNnt015,LHS,nt,0
12455,24102,DNnt015,DNnt015,RHS,nt,0
12172,24125,DNg107,DNxl047,RHS,xl,0
12439,24125,DNg107,DNxl047,LHS,xl,0
11975,24186,DNxn169,DNxn169,LHS,xn,0
11859,24186,DNxn169,DNxn169,RHS,xn,0
11887,24306,DNut047,DNut047,LHS,ut,0
12025,24306,DNut047,DNut047,RHS,ut,0
11856,24311,DNxn191,DNxn191,LHS,xn,0
11803,24316,DNg47,DNfl004,LHS,fl,0
11613,24316,DNg47,DNfl004,RHS,fl,0
11568,24324,DNxn132,DNxn132,LHS,xn,0
12221,24324,DNxn132,DNxn132,RHS,xn,0
11541,24679,DNg110,DNut033,RHS,ut,0
11772,24679,DNg110,DNut033,LHS,ut,0
11731,24679,DNg110,DNut033,RHS,ut,0
11488,24679,DNg110,DNut033,RHS,ut,0
11616,24679,DNg110,DNut033,LHS,ut,0
11440,24679,DNg110,DNut033,LHS,ut,0
11279,24679,DNg110,DNut033,LHS,ut,0
16193,24703,DNut046,DNut046,LHS,ut,0
11961,24703,DNut046,DNut046,LHS,ut,0
11254,24703,DNut046,DNut046,LHS,ut,0
11102,24703,DNut046,DNut046,RHS,ut,0
11220,24703,DNut046,DNut046,RHS,ut,0
18265,24703,DNut046,DNut046,RHS,ut,0
11051,24703,DNut046,DNut046,LHS,ut,0
11270,24703,DNut046,DNut046,LHS,ut,0
11019,24703,DNut046,DNut046,RHS,ut,0
10941,24703,DNut046,DNut046,RHS,ut,0
11306,24703,DNut046,DNut046,RHS,ut,0
10912,24703,DNut046,DNut046,RHS,ut,0
13804,24703,DNut046,DNut046,LHS,ut,0
12594,24703,DNut046,DNut046,LHS,ut,0
10868,24705,DNg02,DNut008,RHS,ut,10
10896,24705,DNg02,DNut008,RHS,ut,10
10648,24705,DNg02,DNut008,LHS,ut,10
10623,24705,DNg02,DNut008,LHS,ut,10
10291,24705,DNg02,DNut008,RHS,ut,10
29081,24705,DNg02,DNut008,LHS,ut,10
15344,24753,DNg62,DNfl008,LHS,fl,0
14931,24753,DNg62,DNfl008,RHS,fl,0
12259,24755,DNxn138,DNxn138,LHS,xn,0
12406,24755,DNxn138,DNxn138,RHS,xn,0
10506,24758,DNut045,DNut045,LHS,ut,0
10531,24758,DNut045,DNut045,RHS,ut,0
11327,24959,DNxl072,DNxl072,RHS,xl,0
11071,24959,DNxl072,DNxl072,LHS,xl,0
12431,25018,DNg61,DNfl007,RHS,fl,0
12020,25110,DNg51,DNxn055,LHS,xn,0
14939,25110,DNg51,DNxn055,RHS,xn,0
15257,25110,DNg51,DNxn055,RHS,xn,0
12973,25110,DNg51,DNxn055,LHS,xn,0
13405,25130,DNut044,DNut044,RHS,ut,0
12167,25130,DNut044,DNut044,LHS,ut,0
12304,25155,DNxl071,DNxl071,LHS,xl,0
10315,25155,DNxl071,DNxl071,RHS,xl,0
10307,25155,DNxl071,DNxl071,RHS,xl,0
13916,25155,DNxl071,DNxl071,LHS,xl,0
14677,25543,DNg03,DNut011,LHS,ut,11
16554,25543,DNg03,DNut011,LHS,ut,11
15026,25543,DNg03,DNut011,LHS,ut,11
10491,25543,DNg03,DNut011,LHS,ut,11
10410,25543,DNg03,DNut011,LHS,ut,11
30809,25543,DNg03,DNut011,RHS,ut,11
23849,25543,DNg03,DNut011,RHS,ut,11
28572,25543,DNg03,DNut011,RHS,ut,11
23580,25543,DNg03,DNut011,RHS,ut,11
28224,25543,DNg03,DNut011,RHS,ut,11
35897,25543,DNg03,DNut011,RHS,ut,11
41239,25543,DNg03,DNut011,RHS,ut,11
44001,25543,DNg03,DNut011,LHS,ut,11
26039,25543,DNg03,DNut011,LHS,ut,11
23573,25630,DNg72,DNxl039,LHS,xl,0
36930,25630,DNg72,DNxl039,RHS,xl,0
25694,25642,DNg36,DNut019,LHS,ut,9
29902,25642,DNg36,DNut019,RHS,ut,9
23026,25642,DNg36,DNut019,LHS,ut,9
26991,25642,DNg36,DNut019,RHS,ut,9
24332,25683,DNa03,DNit001,LHS,it,9
26209,25683,DNa03,DNit001,RHS,it,9
23688,25688,DNut062,DNut062,LHS,ut,0
24965,25786,DNa07,DNut003,LHS,ut,10
10121,25786,DNa07,DNut003,RHS,ut,10
10101,25870,DNg84,DNxn068,LHS,xn,0
14903,25870,DNg84,DNxn068,RHS,xn,0
15249,25879,DNfl029,DNfl029,LHS,fl,0
18351,25879,DNfl029,DNfl029,RHS,fl,0
18599,25879,DNfl029,DNfl029,RHS,fl,0
18856,25879,DNfl029,DNfl029,LHS,fl,0
17782,25924,DNxl070,DNxl070,RHS,xl,0
15090,25924,DNxl070,DNxl070,LHS,xl,0
15162,25965,DNp72,DNut056,LHS,ut,0
18113,25965,DNp72,DNut056,RHS,ut,0
16760,25965,DNp72,DNut056,RHS,ut,0
16476,26089,DNxn116,DNxn116,LHS,xn,0
16350,26089,DNxn116,DNxn116,LHS,xn,0
11548,26089,DNxn116,DNxn116,LHS,xn,0
11622,26089,DNxn116,DNxn116,LHS,xn,0
13326,26089,DNxn116,DNxn116,LHS,xn,0
13481,26089,DNxn116,DNxn116,LHS,xn,0
14814,26089,DNxn116,DNxn116,LHS,xn,0
14244,26148,DNxn115,DNxn115,LHS,xn,0
14847,26148,DNxn115,DNxn115,LHS,xn,0
15909,26148,DNxn115,DNxn115,RHS,xn,0
11588,26148,DNxn115,DNxn115,RHS,xn,0
11974,26148,DNxn115,DNxn115,RHS,xn,0
11228,26148,DNxn115,DNxn115,RHS,xn,0
11150,26148,DNxn115,DNxn115,RHS,xn,0
12707,26159,DNg52,DNxl031,RHS,xl,0
12827,26159,DNg52,DNxl031,LHS,xl,0
10113,26242,DNut043,DNut043,LHS,ut,0
10122,26242,DNut043,DNut043,RHS,ut,0
11437,26307,DNfl028,DNfl028,LHS,fl,0
11413,26307,DNfl028,DNfl028,LHS,fl,0
10819,26307,DNfl028,DNfl028,LHS,fl,0
10962,26307,DNfl028,DNfl028,RHS,fl,0
12623,26307,DNfl028,DNfl028,RHS,fl,0
13012,26318,DNfl027,DNfl027,RHS,fl,0
10021,26318,DNfl027,DNfl027,LHS,fl,0
10012,26362,DNg02,DNut007,RHS,ut,10
11684,26362,DNg02,DNut007,RHS,ut,10
11718,26362,DNg02,DNut007,RHS,ut,10
10023,26362,DNg02,DNut007,LHS,ut,10
10813,26362,DNg02,DNut007,RHS,ut,10
13688,26362,DNg02,DNut007,LHS,ut,10
14409,26362,DNg02,DNut007,LHS,ut,10
27125,26391,DNp16,DNut024,RHS,ut,7
27279,26391,DNp16,DNut024,LHS,ut,7
19452,26448,DNg85,DNfl010,RHS,fl,0
19414,26448,DNg85,DNfl010,LHS,fl,0
28538,26464,DNg72,DNxl069,LHS,xl,0
53591964492,26464,DNg72,DNxl069,RHS,xl,0
11938,26467,DNut042,DNut042,LHS,ut,0
10681,26467,DNut042,DNut042,LHS,ut,0
15272,26467,DNut042,DNut042,RHS,ut,0
14557,26467,DNut042,DNut042,RHS,ut,0
12974,26467,DNut042,DNut042,RHS,ut,0
13085,26467,DNut042,DNut042,RHS,ut,0
18388,26467,DNut042,DNut042,RHS,ut,0
18424,26467,DNut042,DNut042,LHS,ut,0
17883,26467,DNut042,DNut042,LHS,ut,0
17211,26467,DNut042,DNut042,LHS,ut,0
15511,26467,DNut042,DNut042,LHS,ut,0
14948,26505,DNxn135,DNxn135,LHS,xn,0
11987,26505,DNxn135,DNxn135,RHS,xn,0
11977,26517,DNlt010,DNlt010,LHS,lt,0
166304,26517,DNlt010,DNlt010,RHS,lt,0
12380,26571,DNnt014,DNnt014,RHS,nt,0
13038,26571,DNnt014,DNnt014,LHS,nt,0
13417,26571,DNnt014,DNnt014,LHS,nt,0
14523,26571,DNnt014,DNnt014,RHS,nt,0
13438,26587,DNp17,DNut025,RHS,ut,0
13809,26587,DNp17,DNut025,LHS,ut,0
14419,26587,DNp17,DNut025,RHS,ut,0
11072,26587,DNp17,DNut025,RHS,ut,0
11386,26587,DNp17,DNut025,LHS,ut,0
19682,26587,DNp17,DNut025,LHS,ut,0
18431,26587,DNp17,DNut025,LHS,ut,0
31648,26587,DNp17,DNut025,LHS,ut,0
31482,26587,DNp17,DNut025,LHS,ut,0
14042,26587,DNp17,DNut025,RHS,ut,0
14786,26587,DNp17,DNut025,RHS,ut,0
25110,26713,DNxn143,DNxn143,LHS,xn,0
25709,26713,DNxn143,DNxn143,RHS,xn,0
25796,26720,DNnt008,DNnt008,RHS,nt,0
25969,26720,DNnt008,DNnt008,RHS,nt,0
14904,26720,DNnt008,DNnt008,LHS,nt,0
17621,26720,DNnt008,DNnt008,LHS,nt,0
16837,26720,DNnt008,DNnt008,LHS,nt,0
30559,26720,DNnt008,DNnt008,RHS,nt,0
29976,26720,DNnt008,DNnt008,LHS,nt,0
25415,26720,DNnt008,DNnt008,RHS,nt,0
22755,26767,DNxn134,DNxn134,LHS,xn,0
31265,26767,DNxn134,DNxn134,RHS,xn,0
27993,26846,DNxn129,DNxn129,RHS,xn,0
13553,26846,DNxn129,DNxn129,LHS,xn,0
13704,26926,DNg52,DNfl006,LHS,fl,0
15546,26926,DNg52,DNfl006,RHS,fl,0
16192,27014,DNfl026,DNfl026,RHS,fl,0
15829,27014,DNfl026,DNfl026,LHS,fl,0
16511,27095,DNfl025,DNfl025,LHS,fl,0
16813,27095,DNfl025,DNfl025,RHS,fl,0
18207,27119,DNxn114,DNxn114,LHS,xn,0
15934,27119,DNxn114,DNxn114,RHS,xn,0
16706,27125,DNp23,DNxn037,RHS,xn,2
15578,27125,DNp23,DNxn037,LHS,xn,2
15576,27217,DNfl024,DNfl024,LHS,fl,0
176812,27217,DNfl024,DNfl024,RHS,fl,0
12029,27629,DNxn145,DNxn145,LHS,xn,0
22629,27629,DNxn145,DNxn145,RHS,xn,0
22713,27663,DNlt009,DNlt009,RHS,lt,0
27011,27663,DNlt009,DNlt009,LHS,lt,0
25870,27724,DNut041,DNut041,LHS,ut,0
22372,27724,DNut041,DNut041,RHS,ut,0
20253,27737,DNg106,DNlt006,LHS,lt,0
15895,27737,DNg106,DNlt006,LHS,lt,0
16814,27737,DNg106,DNlt006,RHS,lt,0
14485,27737,DNg106,DNlt006,LHS,lt,0
15331,27737,DNg106,DNlt006,LHS,lt,0
15950,27737,DNg106,DNlt006,RHS,lt,0
16553,27737,DNg106,DNlt006,RHS,lt,0
32317,27737,DNg106,DNlt006,RHS,lt,0
31885,27737,DNg106,DNlt006,LHS,lt,0
14307,27775,DNfl023,DNfl023,LHS,fl,0
14018,27775,DNfl023,DNfl023,RHS,fl,0
18153,27912,DNfl022,DNfl022,LHS,fl,0
18279,27912,DNfl022,DNfl022,RHS,fl,0
17630,27993,DNg60,DNxn060,RHS,xn,0
17669,27993,DNg60,DNxn060,LHS,xn,0
11136,28004,DNxn113,DNxn113,LHS,xn,0
11310,28004,DNxn113,DNxn113,RHS,xn,0
17713,28042,DNfl045,DNfl045,LHS,fl,0
17507,28263,DNxl067,DNxl067,LHS,xl,0
17575,28263,DNxl067,DNxl067,RHS,xl,0
16842,28263,DNxl067,DNxl067,LHS,xl,0
24060,28263,DNxl067,DNxl067,RHS,xl,0
23663,28396,DNxn112,DNxn112,RHS,xn,0
13226,28396,DNxn112,DNxn112,RHS,xn,0
13764,28396,DNxn112,DNxn112,RHS,xn,0
13491,28396,DNxn112,DNxn112,LHS,xn,0
13203,28396,DNxn112,DNxn112,LHS,xn,0
11160,28396,DNxn112,DNxn112,LHS,xn,0
11268,28527,DNg05,DNut013,LHS,ut,9
17862,28527,DNg05,DNut013,LHS,ut,9
17898,28527,DNg05,DNut013,RHS,ut,9
13034,28527,DNg05,DNut013,RHS,ut,9
12770,28538,DNp25,DNxn039,RHS,xn,3
16417,28538,DNp25,DNxn039,LHS,xn,3
16418,28812,DNxn111,DNxn111,LHS,xn,0
12257,28812,DNxn111,DNxn111,RHS,xn,0
12141,29021,DNg06,DNut014,RHS,ut,10
14337,29021,DNg06,DNut014,LHS,ut,10
14194,29021,DNg06,DNut014,LHS,ut,10
14035,29021,DNg06,DNut014,RHS,ut,10
15127,29021,DNg06,DNut014,RHS,ut,10
15680,29021,DNg06,DNut014,LHS,ut,10
31141,29021,DNg06,DNut014,LHS,ut,10
14522,29040,DNit007,DNit007,LHS,it,0
16075,29040,DNit007,DNit007,LHS,it,0
17113,29040,DNit007,DNit007,RHS,it,0
17467,29040,DNit007,DNit007,RHS,it,0
18814,29040,DNit007,DNit007,RHS,it,0
20432,29040,DNit007,DNit007,LHS,it,0
15134,29081,DNxl135,DNxl135,RHS,xl,0
14585,29102,DNnt013,DNnt013,RHS,nt,0
11743,29102,DNnt013,DNnt013,LHS,nt,0
11579,29102,DNnt013,DNnt013,RHS,nt,0
11660,29102,DNnt013,DNnt013,LHS,nt,0
11637,29182,DNfl021,DNfl021,RHS,fl,0
11959,29182,DNfl021,DNfl021,LHS,fl,0
10336,29182,DNfl021,DNfl021,LHS,fl,0
10937,29182,DNfl021,DNfl021,RHS,fl,0
11443,29261,DNfl044,DNfl044,LHS,fl,0
16522,29767,DNxl066,DNxl066,LHS,xl,0
17244,29767,DNxl066,DNxl066,RHS,xl,0
10717,29781,DNxn110,DNxn110,LHS,xn,0
10663,29781,DNxn110,DNxn110,RHS,xn,0
26939,29781,DNxn110,DNxn110,RHS,xn,0
27622,29781,DNxn110,DNxn110,LHS,xn,0
69417,29882,DNxn133,DNxn133,RHS,xn,0
24131,29882,DNxn133,DNxn133,RHS,xn,0
22002,29904,DNht001,DNht001,LHS,ht,0
31771,29904,DNht001,DNht001,RHS,ht,0
16197,29904,DNht001,DNht001,RHS,ht,0
15838,29904,DNht001,DNht001,RHS,ht,0
13483,29904,DNht001,DNht001,RHS,ht,0
13239,29904,DNht001,DNht001,RHS,ht,0
13548,29904,DNht001,DNht001,RHS,ht,0
12613,29904,DNht001,DNht001,RHS,ht,0
48027,29904,DNht001,DNht001,RHS,ht,0
45523,29904,DNht001,DNht001,RHS,ht,0
45618,29904,DNht001,DNht001,LHS,ht,0
53588309438,29904,DNht001,DNht001,LHS,ht,0
45849,29904,DNht001,DNht001,LHS,ht,0
47230,29904,DNht001,DNht001,LHS,ht,0
40943,29904,DNht001,DNht001,LHS,ht,0
33663,29904,DNht001,DNht001,LHS,ht,0
33891,29904,DNht001,DNht001,LHS,ht,0
31821,29904,DNht001,DNht001,LHS,ht,0
34822,29904,DNht001,DNht001,LHS,ht,0
32744,29904,DNht001,DNht001,LHS,ht,0
31999,29904,DNht001,DNht001,RHS,ht,0
32776,29904,DNht001,DNht001,RHS,ht,0
31778,29904,DNht001,DNht001,RHS,ht,0
53581075416,29976,DNg57,DNxn058,RHS,xn,0
38393,29976,DNg57,DNxn058,LHS,xn,0
30754,29987,DNnt007,DNnt007,RHS,nt,0
33074,29987,DNnt007,DNnt007,LHS,nt,0
42075,29987,DNnt007,DNnt007,LHS,nt,0
46922,29987,DNnt007,DNnt007,RHS,nt,0
52357208220,29987,DNnt007,DNnt007,LHS,nt,0
38167,29987,DNnt007,DNnt007,LHS,nt,0
39379,29987,DNnt007,DNnt007,LHS,nt,0
42716,29987,DNnt007,DNnt007,RHS,nt,0
43869,29987,DNnt007,DNnt007,RHS,nt,0
48208,29987,DNnt007,DNnt007,RHS,nt,0
41261,29987,DNnt007,DNnt007,RHS,nt,0
45214,30130,DNxn167,DNxn167,LHS,xn,0
42273,30130,DNxn167,DNxn167,RHS,xn,0
30538,30180,DNut039,DNut039,LHS,ut,0
32535,30180,DNut039,DNut039,RHS,ut,0
33725,30538,DNxn109,DNxn109,LHS,xn,0
40501,30538,DNxn109,DNxn109,LHS,xn,0
37675,30538,DNxn109,DNxn109,LHS,xn,0
30685,30538,DNxn109,DNxn109,LHS,xn,0
39001,30538,DNxn109,DNxn109,RHS,xn,0
33151,30538,DNxn109,DNxn109,RHS,xn,0
29781,30538,DNxn109,DNxn109,RHS,xn,0
34257,30538,DNxn109,DNxn109,RHS,xn,0
30723,30538,DNxn109,DNxn109,RHS,xn,0
28874,30538,DNxn109,DNxn109,RHS,xn,0
28812,30538,DNxn109,DNxn109,LHS,xn,0
32461,30538,DNxn109,DNxn109,LHS,xn,0
33429,30538,DNxn109,DNxn109,RHS,xn,0
35677,30538,DNxn109,DNxn109,LHS,xn,0
28396,30538,DNxn109,DNxn109,LHS,xn,0
32146,30538,DNxn109,DNxn109,RHS,xn,0
37290,30538,DNxn109,DNxn109,RHS,xn,0
28004,30538,DNxn109,DNxn109,RHS,xn,0
28617,30538,DNxn109,DNxn109,RHS,xn,0
27624,30744,DNxn144,DNxn144,LHS,xn,0
27119,30744,DNxn144,DNxn144,LHS,xn,0
28544,30744,DNxn144,DNxn144,LHS,xn,0
28823,30744,DNxn144,DNxn144,LHS,xn,0
26148,30744,DNxn144,DNxn144,RHS,xn,0
27886,30744,DNxn144,DNxn144,RHS,xn,0
42161,30744,DNxn144,DNxn144,RHS,xn,0
42192,30744,DNxn144,DNxn144,RHS,xn,0
43362,30744,DNxn144,DNxn144,RHS,xn,0
31170,30744,DNxn144,DNxn144,RHS,xn,0
42130,30754,DNxn108,DNxn108,LHS,xn,0
42673,30754,DNxn108,DNxn108,LHS,xn,0
43616,30754,DNxn108,DNxn108,RHS,xn,0
41018,30754,DNxn108,DNxn108,RHS,xn,0
26089,30919,DNg12,DNfl002,RHS,fl,6
41766,30919,DNg12,DNfl002,LHS,fl,6
26377,30919,DNg12,DNfl002,LHS,fl,6
23811,30919,DNg12,DNfl002,LHS,fl,6
24453,30919,DNg12,DNfl002,LHS,fl,6
26626,30919,DNg12,DNfl002,RHS,fl,6
27252,30919,DNg12,DNfl002,RHS,fl,6
22004,30919,DNg12,DNfl002,RHS,fl,6
154083,31361,DNg12,DNfl001,LHS,fl,6
20647,31361,DNg12,DNfl001,RHS,fl,6
21158,31361,DNg12,DNfl001,LHS,fl,6
21386,31361,DNg12,DNfl001,LHS,fl,6
21150,31361,DNg12,DNfl001,RHS,fl,6
17989,31361,DNg12,DNfl001,RHS,fl,6
21685,31361,DNg12,DNfl001,RHS,fl,6
18244,31377,DNxl065,DNxl065,LHS,xl,0
17871,31377,DNxl065,DNxl065,RHS,xl,0
12696,31408,DNfl020,DNfl020,LHS,fl,0
13336,31408,DNfl020,DNfl020,RHS,fl,0
12170,31446,DNfl019,DNfl019,LHS,fl,0
12155,31446,DNfl019,DNfl019,RHS,fl,0
11286,31482,DNg46,DNxn053,RHS,xn,0
11497,31482,DNg46,DNxn053,LHS,xn,0
10719,31531,DNfl018,DNfl018,RHS,fl,0
10759,31531,DNfl018,DNfl018,LHS,fl,0
18748,31566,DNit006,DNit006,LHS,it,0
18997,31566,DNit006,DNit006,LHS,it,0
23962,31566,DNit006,DNit006,RHS,it,0
20649,31566,DNit006,DNit006,RHS,it,0
45488,31566,DNit006,DNit006,RHS,it,0
51806,31566,DNit006,DNit006,LHS,it,0
53062,31592,DNp16,DNut023,LHS,ut,7
44692,31592,DNp16,DNut023,RHS,ut,7
166597,31885,DNxn073,DNxn073,RHS,xn,0
48473,31885,DNxn073,DNxn073,LHS,xn,0
41205,31999,DNxn107,DNxn107,LHS,xn,0
26846,31999,DNxn107,DNxn107,RHS,xn,0
27359,32001,DNg92,DNut032,LHS,ut,0
20799,32001,DNg92,DNut032,LHS,ut,0
20188,32001,DNg92,DNut032,RHS,ut,0
18046,32001,DNg92,DNut032,LHS,ut,0
18312,32001,DNg92,DNut032,RHS,ut,0
27039,32001,DNg92,DNut032,RHS,ut,0
24324,32001,DNg92,DNut032,RHS,ut,0
29882,32001,DNg92,DNut032,RHS,ut,0
30235,32001,DNg92,DNut032,LHS,ut,0
167413,32039,DNnt012,DNnt012,LHS,nt,0
26767,32039,DNnt012,DNnt012,RHS,nt,0
26505,32312,DNit005,DNit005,LHS,it,0
26854,32312,DNit005,DNit005,LHS,it,0
17777,32312,DNit005,DNit005,RHS,it,0
17948,32312,DNit005,DNit005,RHS,it,0
53595462076,32437,DNnt011,DNnt011,LHS,nt,0
39475,32437,DNnt011,DNnt011,RHS,nt,0
24755,32437,DNnt011,DNnt011,RHS,nt,0
27990,32437,DNnt011,DNnt011,LHS,nt,0
40070,32437,DNnt011,DNnt011,LHS,nt,0
38263,32437,DNnt011,DNnt011,LHS,nt,0
41125,32437,DNnt011,DNnt011,LHS,nt,0
166645,32437,DNnt011,DNnt011,LHS,nt,0
36801,32437,DNnt011,DNnt011,LHS,nt,0
41773,32437,DNnt011,DNnt011,LHS,nt,0
31813,32437,DNnt011,DNnt011,RHS,nt,0
16082,32437,DNnt011,DNnt011,RHS,nt,0
15769,32437,DNnt011,DNnt011,RHS,nt,0
16722,32437,DNnt011,DNnt011,RHS,nt,0
15604,32437,DNnt011,DNnt011,RHS,nt,0
10721,32437,DNnt011,DNnt011,RHS,nt,0
10639,32504,DNfl017,DNfl017,LHS,fl,0
27516,32504,DNfl017,DNfl017,RHS,fl,0
26713,32744,DNxn106,DNxn106,RHS,xn,0
36489,32744,DNxn106,DNxn106,LHS,xn,0
40252,32744,DNxn106,DNxn106,RHS,xn,0
43801,32744,DNxn106,DNxn106,LHS,xn,0
44145,32744,DNxn106,DNxn106,RHS,xn,0
39158,32767,DNut061,DNut061,RHS,ut,0
30744,33183,DNg53,DNnt004,RHS,nt,0
37452,33183,DNg53,DNnt004,LHS,nt,0
40109,33339,DNxl063,DNxl063,RHS,xl,0
44199,33339,DNxl063,DNxl063,LHS,xl,0
104140,33395,DNnt010,DNnt010,RHS,nt,0
28033,33395,DNnt010,DNnt010,LHS,nt,0
27629,33395,DNnt010,DNnt010,LHS,nt,0
23385,33395,DNnt010,DNnt010,RHS,nt,0
23722,33987,DNfl013,DNfl013,LHS,fl,0
20535,33987,DNfl013,DNfl013,RHS,fl,0
23448,34144,DNut036,DNut036,LHS,ut,0
17717,34144,DNut036,DNut036,LHS,ut,0
19952,34144,DNut036,DNut036,LHS,ut,0
16746,34144,DNut036,DNut036,RHS,ut,0
16567,34144,DNut036,DNut036,RHS,ut,0
13837,34144,DNut036,DNut036,RHS,ut,0
15718,34548,DNnt009,DNnt009,LHS,nt,0
13348,34548,DNnt009,DNnt009,LHS,nt,0
13820,36718,DNfl016,DNfl016,LHS,fl,0
13139,36718,DNfl016,DNfl016,RHS,fl,0
13299,36718,DNfl016,DNfl016,RHS,fl,0
19189,36718,DNfl016,DNfl016,LHS,fl,0
20104,36801,DNxn139,DNxn139,LHS,xn,0
18135,36801,DNxn139,DNxn139,RHS,xn,0
153988,36801,DNxn139,DNxn139,RHS,xn,0
18041,36801,DNxn139,DNxn139,RHS,xn,0
17526,36801,DNxn139,DNxn139,LHS,xn,0
17004,36801,DNxn139,DNxn139,LHS,xn,0
19367,36801,DNxn139,DNxn139,RHS,xn,0
16822,37139,DNit013,DNit013,RHS,it,0
17798,37405,DNg77,DNit002,RHS,it,0
154401,37405,DNg77,DNit002,RHS,it,0
16333,37799,DNg10,DNnt002,RHS,nt,10
17366,37799,DNg10,DNnt002,RHS,nt,10
16264,37799,DNg10,DNnt002,RHS,nt,10
13053,37799,DNg10,DNnt002,RHS,nt,10
13343,37799,DNg10,DNnt002,RHS,nt,10
12719,37799,DNg10,DNnt002,LHS,nt,10
12746,37799,DNg10,DNnt002,LHS,nt,10
13113,37799,DNg10,DNnt002,LHS,nt,10
11697,37799,DNg10,DNnt002,LHS,nt,10
11427,37799,DNg10,DNnt002,LHS,nt,10
11647,37799,DNg10,DNnt002,LHS,nt,10
13291,37799,DNg10,DNnt002,LHS,nt,10
13184,37799,DNg10,DNnt002,LHS,nt,10
12902,37799,DNg10,DNnt002,LHS,nt,10
15839,37799,DNg10,DNnt002,LHS,nt,10
12206,37799,DNg10,DNnt002,LHS,nt,10
12733,37799,DNg10,DNnt002,RHS,nt,10
32388,37799,DNg10,DNnt002,RHS,nt,10
30130,37799,DNg10,DNnt002,RHS,nt,10
11202,37799,DNg10,DNnt002,RHS,nt,10
11298,37799,DNg10,DNnt002,RHS,nt,10
25239,37799,DNg10,DNnt002,RHS,nt,10
24186,37992,DNg67,DNxl036,RHS,xl,0
23646,37992,DNg67,DNxl036,LHS,xl,0
24989,39475,DNxn137,DNxn137,LHS,xn,0
22194,39475,DNxn137,DNxn137,RHS,xn,0
21807,39724,DNg83,DNfl009,LHS,fl,0
21431,39724,DNg83,DNfl009,RHS,fl,0
22240,39959,DNg18,DNut016,RHS,ut,10
18596,39959,DNg18,DNut016,LHS,ut,10
18777,40420,DNfl014,DNfl014,LHS,fl,0
15597,40420,DNfl014,DNfl014,RHS,fl,0
15499,40943,DNxn105,DNxn105,RHS,xn,0
13517,40943,DNxn105,DNxn105,LHS,xn,0
13411,40943,DNxn105,DNxn105,RHS,xn,0
12012,41205,DNxn128,DNxn128,RHS,xn,0
11573,41205,DNxn128,DNxn128,RHS,xn,0
15016,41205,DNxn128,DNxn128,RHS,xn,0
14999,41205,DNxn128,DNxn128,LHS,xn,0
17061,41205,DNxn128,DNxn128,LHS,xn,0
14350,41205,DNxn128,DNxn128,RHS,xn,0
12747,41205,DNxn128,DNxn128,LHS,xn,0
12753,41456,DNit004,DNit004,RHS,it,0
12617,41456,DNit004,DNit004,LHS,it,0
12731,43795,DNut034,DNut034,RHS,ut,0
11839,43795,DNut034,DNut034,LHS,ut,0
21750,43795,DNut034,DNut034,LHS,ut,0
11968,43795,DNut034,DNut034,RHS,ut,0
11798,44166,DNxn189,DNxn189,RHS,xn,0
11693,44201,DNit012,DNit012,LHS,it,0
11621,44321,DNit011,DNit011,LHS,it,0
15513,45523,DNxn104,DNxn104,RHS,xn,0
15275,45523,DNxn104,DNxn104,RHS,xn,0
16099,45523,DNxn104,DNxn104,LHS,xn,0
16582,45523,DNxn104,DNxn104,LHS,xn,0
15613,46341,DNxn188,DNxn188,LHS,xn,0
15327,46595,DNit003,DNit003,LHS,it,0
15291,46595,DNit003,DNit003,RHS,it,0
14228,46595,DNit003,DNit003,RHS,it,0
13951,46882,DNnt022,DNnt022,RHS,nt,0
14301,48107,DNfl043,DNfl043,RHS,fl,0
46341,49113,DNit010,DNit010,LHS,it,0
44166,49317,DNxn192,DNxn192,LHS,xn,0
49688,49688,DNxn190,DNxn190,RHS,xn,0
24311,151717,DNit009,DNit009,LHS,it,0
49317,151739,DNxn193,DNxn193,LHS,xn,0
151739,53170881453,DNnt021,DNnt021,LHS,nt,0
