,source_uid,source_bid,source_name,source_class,target_uid,target_bid,target_name,target_class,nt_type,neuropil,syn_count,eff_weight
0,21371,11019,DNxl129,descending,2,19484,IN04B090,intrinsic,acetylcholine,T2,5,5
1,16659,11120,DNxl049,descending,2,19484,IN04B090,intrinsic,acetylcholine,T2,15,15
2,20371,12915,DNxl108,descending,2,19484,IN04B090,intrinsic,acetylcholine,T2,22,22
3,3566,15291,DNxn186,descending,2,19484,IN04B090,intrinsic,glutamate,T2,6,-6
4,5048,18730,DNxl096,descending,2,19484,IN04B090,intrinsic,glutamate,T2,11,-11
5,20977,10506,DNxn003,descending,8,31111,IN06A058,intrinsic,acetylcholine,T2,9,9
6,20674,10531,DNxn003,descending,8,31111,IN06A058,intrinsic,acetylcholine,T2,7,7
7,5256,11286,DNxn124,descending,8,31111,IN06A058,intrinsic,acetylcholine,T2,13,13
8,2400,11497,DNxn124,descending,8,31111,IN06A058,intrinsic,acetylcholine,T2,7,7
9,792,11660,DNxn095,descending,8,31111,IN06A058,intrinsic,glutamate,T2,7,-7
10,7669,13061,DNut017,descending,8,31111,IN06A058,intrinsic,glutamate,T2,16,-16
11,17318,13443,DNut017,descending,8,31111,IN06A058,intrinsic,glutamate,T2,7,-7
12,8588,14903,DNxn016,descending,8,31111,IN06A058,intrinsic,acetylcholine,T2,17,17
13,17510,14939,DNxn006,descending,8,31111,IN06A058,intrinsic,glutamate,T2,16,-16
14,16303,15249,DNxn016,descending,8,31111,IN06A058,intrinsic,acetylcholine,T2,7,7
15,9270,15257,DNxn006,descending,8,31111,IN06A058,intrinsic,glutamate,T2,11,-11
16,12227,15576,DNxn065,descending,8,31111,IN06A058,intrinsic,acetylcholine,T2,8,8
17,12225,15838,DNxn101,descending,8,31111,IN06A058,intrinsic,acetylcholine,T2,37,37
18,11279,16197,DNxn101,descending,8,31111,IN06A058,intrinsic,acetylcholine,T2,40,40
19,5604,27724,DNut041,descending,8,31111,IN06A058,intrinsic,gaba,T2,11,-11
20,15774,27906,DNut041,descending,8,31111,IN06A058,intrinsic,gaba,T2,14,-14
21,9356,29781,DNxn110,descending,8,31111,IN06A058,intrinsic,gaba,T2,8,-8
22,22748,29831,DNut014,descending,8,31111,IN06A058,intrinsic,acetylcholine,T2,5,5
23,16209,33151,DNxn110,descending,8,31111,IN06A058,intrinsic,gaba,T2,9,-9
24,20760,34257,DNxn110,descending,8,31111,IN06A058,intrinsic,gaba,T2,7,-7
25,21643,10336,DNxn096,descending,10,20172,IN03A052,intrinsic,gaba,T2,56,-56
26,17072,11693,DNxn182,descending,10,20172,IN03A052,intrinsic,gaba,T2,6,-6
27,11345,11959,DNxn096,descending,10,20172,IN03A052,intrinsic,gaba,T2,60,-60
28,4994,12029,DNxn066,descending,10,20172,IN03A052,intrinsic,gaba,T2,14,-14
29,20359,12623,DNxn032,descending,10,20172,IN03A052,intrinsic,acetylcholine,T2,16,16
30,13088,12716,DNxl112,descending,10,20172,IN03A052,intrinsic,glutamate,T2,19,-19
31,14612,12747,DNxn179,descending,10,20172,IN03A052,intrinsic,gaba,T2,6,-6
32,7408,13012,DNxn032,descending,10,20172,IN03A052,intrinsic,acetylcholine,T2,10,10
33,19122,15426,DNxl068,descending,10,20172,IN03A052,intrinsic,acetylcholine,T2,13,13
34,14692,17643,DNxl008,descending,10,20172,IN03A052,intrinsic,acetylcholine,T2,5,5
35,16584,37992,DNxl036,descending,10,20172,IN03A052,intrinsic,acetylcholine,T2,20,20
36,9604,10410,DNxn012,descending,15,19252,IN11B015,intrinsic,glutamate,T2,48,-48
37,23336,13892,DNxl027,descending,26,17941,IN20A.22A065,intrinsic,acetylcholine,T2,5,5
38,21202,14061,DNxl027,descending,26,17941,IN20A.22A065,intrinsic,acetylcholine,T2,6,6
39,20715,18092,DNxl033,descending,26,17941,IN20A.22A065,intrinsic,acetylcholine,T2,6,6
40,22323,10428,DNut028,descending,28,17679,IN11B013,intrinsic,acetylcholine,T2,9,9
41,17725,11987,DNxn046,descending,28,17679,IN11B013,intrinsic,acetylcholine,T2,6,6
42,17442,12304,DNxn008,descending,28,17679,IN11B013,intrinsic,glutamate,T2,6,-6
43,7669,13061,DNut017,descending,28,17679,IN11B013,intrinsic,glutamate,T2,60,-60
44,21040,13239,DNxn102,descending,28,17679,IN11B013,intrinsic,acetylcholine,T2,5,5
45,17318,13443,DNut017,descending,28,17679,IN11B013,intrinsic,glutamate,T2,68,-68
46,8588,14903,DNxn016,descending,28,17679,IN11B013,intrinsic,acetylcholine,T2,12,12
47,4395,16571,DNxl008,descending,28,17679,IN11B013,intrinsic,acetylcholine,T2,5,5
48,3662,18748,DNxn126,descending,28,17679,IN11B013,intrinsic,acetylcholine,T2,6,6
49,1544,190167,DNlt011,descending,28,17679,IN11B013,intrinsic,acetylcholine,T2,6,6
50,21643,10336,DNxn096,descending,31,17417,IN04B100,intrinsic,gaba,T2,38,-38
51,11345,11959,DNxn096,descending,31,17417,IN04B100,intrinsic,gaba,T2,65,-65
52,20359,12623,DNxn032,descending,31,17417,IN04B100,intrinsic,acetylcholine,T2,15,15
53,7408,13012,DNxn032,descending,31,17417,IN04B100,intrinsic,acetylcholine,T2,18,18
54,3846,13169,DNxl038,descending,31,17417,IN04B100,intrinsic,gaba,T2,12,-12
55,7393,13244,DNxl038,descending,31,17417,IN04B100,intrinsic,gaba,T2,30,-30
56,19122,15426,DNxl068,descending,31,17417,IN04B100,intrinsic,acetylcholine,T2,10,10
57,22720,10941,DNxl130,descending,34,27045,IN20A.22A065,intrinsic,acetylcholine,T2,5,5
58,14348,10967,DNxl024,descending,34,27045,IN20A.22A065,intrinsic,acetylcholine,T2,7,7
59,18927,11311,DNxl023,descending,34,27045,IN20A.22A065,intrinsic,acetylcholine,T2,5,5
60,21202,14061,DNxl027,descending,34,27045,IN20A.22A065,intrinsic,acetylcholine,T2,5,5
61,6308,10086,DNxl055,descending,43,15478,IN19A032,intrinsic,gaba,T2,6,-6
62,18128,10097,DNxl080,descending,43,15478,IN19A032,intrinsic,gaba,T2,7,-7
63,4894,11071,DNxn004,descending,43,15478,IN19A032,intrinsic,acetylcholine,T2,6,6
64,18618,25688,DNut062,descending,43,15478,IN19A032,intrinsic,gaba,T2,21,-21
65,6130,36718,DNfl016,descending,43,15478,IN19A032,intrinsic,gaba,T2,19,-19
66,4584,45911,DNfl016,descending,43,15478,IN19A032,intrinsic,gaba,T2,6,-6
67,11505,10648,DNxl133,descending,45,15216,IN08B062,intrinsic,acetylcholine,T2,30,30
68,17860,12779,DNxl113,descending,45,15216,IN08B062,intrinsic,acetylcholine,T2,15,15
69,17560,13066,DNxl107,descending,45,15216,IN08B062,intrinsic,glutamate,T2,6,-6
70,9302,13092,DNxl111,descending,45,15216,IN08B062,intrinsic,glutamate,T2,7,-7
71,1952,13387,DNxl103,descending,45,15216,IN08B062,intrinsic,acetylcholine,T2,11,11
72,17935,15280,DNfl005,descending,45,15216,IN08B062,intrinsic,acetylcholine,T2,8,8
73,10100,16567,DNxn149,descending,45,15216,IN08B062,intrinsic,acetylcholine,T2,5,5
74,19175,22755,DNxn059,descending,45,15216,IN08B062,intrinsic,gaba,T2,26,-26
75,5765,24316,DNfl004,descending,45,15216,IN08B062,intrinsic,acetylcholine,T2,10,10
76,2819,10101,DNxn015,descending,64,15276,IN19B033,intrinsic,acetylcholine,T2,10,10
77,16238,10121,DNxn015,descending,64,15276,IN19B033,intrinsic,acetylcholine,T2,14,14
78,13682,10307,DNxn009,descending,64,15276,IN19B033,intrinsic,acetylcholine,T2,11,11
79,15023,10663,DNxn099,descending,64,15276,IN19B033,intrinsic,acetylcholine,T2,5,5
80,6747,10719,DNxn125,descending,64,15276,IN19B033,intrinsic,gaba,T2,7,-7
81,12419,10759,DNxn125,descending,64,15276,IN19B033,intrinsic,gaba,T2,15,-15
82,4892,10937,DNxn097,descending,64,15276,IN19B033,intrinsic,gaba,T2,20,-20
