,source_uid,source_bid,source_name,source_class,source_type,target_uid,target_bid,target_name,target_class,target_type,target_muscle,syn_count,eff_weight
0,1,19746,IN19A037,intrinsic,glutamate,10125,11813,MNhl02,motor,glutamate,hind leg,7,-7
1,1,19746,IN19A037,intrinsic,glutamate,9392,14020,MNhl35,motor,glutamate,Fe reductor,32,-32
2,1,19746,IN19A037,intrinsic,glutamate,1797,14168,MNhl17,motor,glutamate,Pleural remotor/abductor,60,-60
3,1,19746,IN19A037,intrinsic,glutamate,18293,18286,MNhl31,motor,glutamate,Pleural remotor/abductor,72,-72
4,1,19746,IN19A037,intrinsic,glutamate,10176,21665,MNhl13,motor,glutamate,Fe reductor,39,-39
5,1,19746,IN19A037,intrinsic,glutamate,11815,27258,MNhl33,motor,glutamate,Sternal posterior rotator,7,-7
6,1,19746,IN19A037,intrinsic,glutamate,4697,102123,MNhl29,motor,glutamate,hind leg,18,-18
7,1,19746,IN19A037,intrinsic,glutamate,6007,159762,MNhl18,motor,glutamate,Tergotr.,8,-8
8,5,152948,IN13B098,intrinsic,gaba,20196,14226,MNhl24,motor,acetylcholine,Acc. ti flexor,8,-8
9,5,152948,IN13B098,intrinsic,gaba,7362,17018,MNhl27,motor,gaba,Acc. ti flexor,5,-5
10,5,152948,IN13B098,intrinsic,gaba,4427,157432,MNhl22,motor,glutamate,Sternotrochanter,9,-9
11,5,152948,IN13B098,intrinsic,gaba,12159,164741,MNhl36,motor,glutamate,Sternal anterior rotator,6,-6
12,14,19648,IN16B052,intrinsic,glutamate,14057,11022,MNhl36,motor,glutamate,Sternal anterior rotator,18,-18
13,14,19648,IN16B052,intrinsic,glutamate,21760,11562,MNhl36,motor,glutamate,Sternal anterior rotator,13,-13
14,14,19648,IN16B052,intrinsic,glutamate,10615,17970,MNhl62,motor,glutamate,hind leg,19,-19
15,22,19940,IN16B074,intrinsic,glutamate,14057,11022,MNhl36,motor,glutamate,Sternal anterior rotator,45,-45
16,22,19940,IN16B074,intrinsic,glutamate,21760,11562,MNhl36,motor,glutamate,Sternal anterior rotator,23,-23
17,22,19940,IN16B074,intrinsic,glutamate,10615,17970,MNhl62,motor,glutamate,hind leg,28,-28
18,22,19940,IN16B074,intrinsic,glutamate,643,22465,MNhl12,motor,glutamate,Tr flexor,7,-7
