,source_uid,source_bid,source_name,source_class,source_type,target_uid,target_bid,target_name,target_class,target_type,target_muscle,syn_count,eff_weight
19,22,19940,IN16B074,intrinsic,glutamate,17250,26883,MNhl12,motor,glutamate,Tr flexor,7,-7
20,22,19940,IN16B074,intrinsic,glutamate,14396,28997,MNhl12,motor,glutamate,Tr flexor,7,-7
21,23,19544,IN12B027,intrinsic,gaba,19443,10811,MNhl38,motor,glutamate,ltm1-tibia,12,-12
22,23,19544,IN12B027,intrinsic,gaba,17985,11274,MNhl02,motor,glutamate,hind leg,50,-50
23,23,19544,IN12B027,intrinsic,gaba,620,13069,MNhl22,motor,glutamate,Sternotrochanter,13,-13
24,23,19544,IN12B027,intrinsic,gaba,734,13241,MNhl19,motor,glutamate,ltm1-tibia,8,-8
25,23,19544,IN12B027,intrinsic,gaba,22697,13434,MNhl18,motor,glutamate,Tergotr.,5,-5
26,23,19544,IN12B027,intrinsic,gaba,2319,15735,MNhl01,motor,glutamate,hind leg,42,-42
27,23,19544,IN12B027,intrinsic,gaba,4486,21991,MNhl21,motor,glutamate,Ti flexor,8,-8
28,23,19544,IN12B027,intrinsic,gaba,2419,152620,MNhl08,motor,glutamate,Sternotrochanter,39,-39
29,23,19544,IN12B027,intrinsic,gaba,4061,152621,MNhl08,motor,glutamate,Sternotrochanter,5,-5
30,29,17283,IN03A048,intrinsic,acetylcholine,9392,14020,MNhl35,motor,glutamate,Fe reductor,39,39
31,29,17283,IN03A048,intrinsic,acetylcholine,1797,14168,MNhl17,motor,glutamate,Pleural remotor/abductor,12,12
32,29,17283,IN03A048,intrinsic,acetylcholine,18293,18286,MNhl31,motor,glutamate,Pleural remotor/abductor,52,52
33,49,26843,IN20A.22A060,intrinsic,acetylcholine,16922,10347,MNhl41,motor,glutamate,Ti extensor,5,5
34,49,26843,IN20A.22A060,intrinsic,acetylcholine,10125,11813,MNhl02,motor,glutamate,hind leg,29,29
35,49,26843,IN20A.22A060,intrinsic,acetylcholine,7362,17018,MNhl27,motor,gaba,Acc. ti flexor,5,5
36,49,26843,IN20A.22A060,intrinsic,acetylcholine,9492,152642,MNhl08,motor,glutamate,Sternotrochanter,17,17
37,49,26843,IN20A.22A060,intrinsic,acetylcholine,4427,157432,MNhl22,motor,glutamate,Sternotrochanter,24,24
38,49,26843,IN20A.22A060,intrinsic,acetylcholine,6007,159762,MNhl18,motor,glutamate,Tergotr.,14,14
39,54,14984,IN18B034,intrinsic,acetylcholine,1864,10064,MNwm17,motor,glutamate,b2,19,19
40,54,14984,IN18B034,intrinsic,acetylcholine,12438,10131,MNwm17,motor,glutamate,b2,37,37
41,54,14984,IN18B034,intrinsic,acetylcholine,9467,10178,MNwm36,motor,glutamate,wing,72,72
42,54,14984,IN18B034,intrinsic,acetylcholine,1180,10204,MNwm29,motor,glutamate,ps1,60,60
43,54,14984,IN18B034,intrinsic,acetylcholine,10162,10270,MNwm32,motor,gaba,tp2,29,29
44,54,14984,IN18B034,intrinsic,acetylcholine,1863,10460,MNad42,motor,acetylcholine,abdomen A2,7,7
45,54,14984,IN18B034,intrinsic,acetylcholine,3222,10614,MNwm27,motor,glutamate,iii1,8,8
46,54,14984,IN18B034,intrinsic,acetylcholine,2927,10669,MNwm21,motor,unknown,DVM 1a-c,8,8
47,54,14984,IN18B034,intrinsic,acetylcholine,23285,10733,MNwm21,motor,acetylcholine,DVM 1a-c,10,10
48,54,14984,IN18B034,intrinsic,acetylcholine,15987,10766,MNwm32,motor,glutamate,tp2,11,11
49,54,14984,IN18B034,intrinsic,acetylcholine,19815,10958,MNwm29,motor,gaba,ps1,115,115
50,54,14984,IN18B034,intrinsic,acetylcholine,23125,11776,MNwm15,motor,glutamate,"DVM 3a, b",10,10
51,54,14984,IN18B034,intrinsic,acetylcholine,9186,12330,MNwm21,motor,glutamate,DVM 1a-c,23,23
52,54,14984,IN18B034,intrinsic,acetylcholine,9202,12756,MNad35,motor,glutamate,abdomen A2,6,6
53,54,14984,IN18B034,intrinsic,acetylcholine,11858,13228,MNwm15,motor,acetylcholine,"DVM 3a, b",16,16
54,54,14984,IN18B034,intrinsic,acetylcholine,14172,13717,MNad26,motor,glutamate,abdomen A1,13,13
55,54,14984,IN18B034,intrinsic,acetylcholine,21191,46457,MNwm36,motor,glutamate,wing,21,21
56,54,14984,IN18B034,intrinsic,acetylcholine,3706,38723486729,MNwm21,motor,unknown,DVM 1a-c,13,13
57,85,25068,IN21A041,intrinsic,glutamate,16520,10462,MNhl41,motor,glutamate,Ti extensor,5,-5
58,85,25068,IN21A041,intrinsic,glutamate,17985,11274,MNhl02,motor,glutamate,hind leg,5,-5
59,85,25068,IN21A041,intrinsic,glutamate,7954,13006,MNhl39,motor,glutamate,Ti extensor,9,-9
60,85,25068,IN21A041,intrinsic,glutamate,2419,152620,MNhl08,motor,glutamate,Sternotrochanter,7,-7
61,85,25068,IN21A041,intrinsic,glutamate,4061,152621,MNhl08,motor,glutamate,Sternotrochanter,12,-12
62,86,24672,IN09A045,intrinsic,gaba,6434,176866,MNhl28,motor,glutamate,Acc. ti flexor,10,-10
63,94,165869,IN07B103,intrinsic,acetylcholine,9467,10178,MNwm36,motor,glutamate,wing,31,31
64,94,165869,IN07B103,intrinsic,acetylcholine,16523,10200,MNwm24,motor,glutamate,hg4,32,32
65,112,10978,IN21A004,intrinsic,acetylcholine,16922,10347,MNhl41,motor,glutamate,Ti extensor,7,7
66,112,10978,IN21A004,intrinsic,acetylcholine,10125,11813,MNhl02,motor,glutamate,hind leg,8,8
67,112,10978,IN21A004,intrinsic,acetylcholine,17840,12585,MNhl40,motor,glutamate,Ti flexor,88,88
68,112,10978,IN21A004,intrinsic,acetylcholine,1826,12759,MNhl25,motor,glutamate,Acc. ti flexor,12,12
69,112,10978,IN21A004,intrinsic,acetylcholine,20196,14226,MNhl24,motor,acetylcholine,Acc. ti flexor,5,5
70,112,10978,IN21A004,intrinsic,acetylcholine,16473,14468,MNhl40,motor,glutamate,Ti flexor,17,17
71,112,10978,IN21A004,intrinsic,acetylcholine,9950,15879,MNhl74,motor,glutamate,hind leg,29,29
72,112,10978,IN21A004,intrinsic,acetylcholine,16734,27479,MNhl62,motor,glutamate,hind leg,11,11
73,112,10978,IN21A004,intrinsic,acetylcholine,6295,35407,MNhl70,motor,glutamate,hind leg,95,95
74,112,10978,IN21A004,intrinsic,acetylcholine,22049,163009,MNhl73,motor,glutamate,hind leg,17,17
75,112,10978,IN21A004,intrinsic,acetylcholine,6434,176866,MNhl28,motor,glutamate,Acc. ti flexor,128,128
76,122,20740,IN20A.22A019,intrinsic,acetylcholine,19443,10811,MNhl38,motor,glutamate,ltm1-tibia,79,79
77,122,20740,IN20A.22A019,intrinsic,acetylcholine,3879,10968,MNhl68,motor,glutamate,hind leg,24,24
78,122,20740,IN20A.22A019,intrinsic,acetylcholine,16916,12474,MNhl28,motor,glutamate,Acc. ti flexor,17,17
79,122,20740,IN20A.22A019,intrinsic,acetylcholine,5505,13170,MNhl24,motor,glutamate,Acc. ti flexor,10,10
80,122,20740,IN20A.22A019,intrinsic,acetylcholine,53,15380,MNhl32,motor,glutamate,ltm,5,5
81,122,20740,IN20A.22A019,intrinsic,acetylcholine,12899,16228,MNhl25,motor,glutamate,Acc. ti flexor,7,7
82,146,18539,IN03A083,intrinsic,acetylcholine,9392,14020,MNhl35,motor,glutamate,Fe reductor,33,33
83,146,18539,IN03A083,intrinsic,acetylcholine,18293,18286,MNhl31,motor,glutamate,Pleural remotor/abductor,33,33
84,146,18539,IN03A083,intrinsic,acetylcholine,10176,21665,MNhl13,motor,glutamate,Fe reductor,9,9
85,150,30166,IN07B099,intrinsic,acetylcholine,1180,10204,MNwm29,motor,glutamate,ps1,7,7
86,150,30166,IN07B099,intrinsic,acetylcholine,21191,46457,MNwm36,motor,glutamate,wing,27,27
87,173,18763,IN04B032,intrinsic,acetylcholine,3879,10968,MNhl68,motor,glutamate,hind leg,47,47
88,173,18763,IN04B032,intrinsic,acetylcholine,14057,11022,MNhl36,motor,glutamate,Sternal anterior rotator,23,23
89,173,18763,IN04B032,intrinsic,acetylcholine,17985,11274,MNhl02,motor,glutamate,hind leg,5,5
90,173,18763,IN04B032,intrinsic,acetylcholine,15434,11400,MNhl34,motor,glutamate,Sternal posterior rotator,13,13
91,173,18763,IN04B032,intrinsic,acetylcholine,5282,11480,MNhl67,motor,glutamate,hind leg,6,6
92,173,18763,IN04B032,intrinsic,acetylcholine,16916,12474,MNhl28,motor,glutamate,Acc. ti flexor,16,16
93,173,18763,IN04B032,intrinsic,acetylcholine,620,13069,MNhl22,motor,glutamate,Sternotrochanter,10,10
94,173,18763,IN04B032,intrinsic,acetylcholine,13750,13144,MNhl65,motor,glutamate,hind leg,19,19
95,173,18763,IN04B032,intrinsic,acetylcholine,5505,13170,MNhl24,motor,glutamate,Acc. ti flexor,5,5
96,173,18763,IN04B032,intrinsic,acetylcholine,16564,19260,MNhl25,motor,glutamate,Acc. ti flexor,5,5
97,173,18763,IN04B032,intrinsic,acetylcholine,19833,96565,MNhl05,motor,glutamate,Tr flexor,6,6
98,173,18763,IN04B032,intrinsic,acetylcholine,2419,152620,MNhl08,motor,glutamate,Sternotrochanter,27,27
99,188,16136,IN04B022,intrinsic,acetylcholine,19443,10811,MNhl38,motor,glutamate,ltm1-tibia,7,7
100,188,16136,IN04B022,intrinsic,acetylcholine,10125,11813,MNhl02,motor,glutamate,hind leg,27,27
101,188,16136,IN04B022,intrinsic,acetylcholine,734,13241,MNhl19,motor,glutamate,ltm1-tibia,6,6
102,188,16136,IN04B022,intrinsic,acetylcholine,12901,14095,MNad34,motor,glutamate,abdomen A2,6,6
103,188,16136,IN04B022,intrinsic,acetylcholine,15518,14461,MNad32,motor,glutamate,abdomen A2,5,5
104,188,16136,IN04B022,intrinsic,acetylcholine,17268,15712,MNhl38,motor,glutamate,ltm1-tibia,11,11
105,188,16136,IN04B022,intrinsic,acetylcholine,9492,152642,MNhl08,motor,glutamate,Sternotrochanter,5,5
106,188,16136,IN04B022,intrinsic,acetylcholine,4427,157432,MNhl22,motor,glutamate,Sternotrochanter,16,16
107,188,16136,IN04B022,intrinsic,acetylcholine,23213,157503,MNhl08,motor,glutamate,Sternotrochanter,9,9
108,188,16136,IN04B022,intrinsic,acetylcholine,6007,159762,MNhl18,motor,glutamate,Tergotr.,8,8
109,188,16136,IN04B022,intrinsic,acetylcholine,14115,162912,MNhl37,motor,glutamate,Tr extensor,5,5
110,212,101877,IN04B032,intrinsic,acetylcholine,21382,10787,MNad34,motor,glutamate,abdomen A1,5,5
111,212,101877,IN04B032,intrinsic,acetylcholine,6434,176866,MNhl28,motor,glutamate,Acc. ti flexor,6,6
112,219,11808,IN13B009,intrinsic,gaba,11724,221983,MNhl01,motor,glutamate,hind leg,5,-5
113,227,14495,IN13B019,intrinsic,gaba,19443,10811,MNhl38,motor,glutamate,ltm1-tibia,71,-71
114,227,14495,IN13B019,intrinsic,gaba,16916,12474,MNhl28,motor,glutamate,Acc. ti flexor,16,-16
115,227,14495,IN13B019,intrinsic,gaba,5505,13170,MNhl24,motor,glutamate,Acc. ti flexor,20,-20
116,227,14495,IN13B019,intrinsic,gaba,22697,13434,MNhl18,motor,glutamate,Tergotr.,10,-10
117,227,14495,IN13B019,intrinsic,gaba,1527,14649,MNhl29,motor,glutamate,hind leg,31,-31
118,227,14495,IN13B019,intrinsic,gaba,20468,15550,MNhl63,motor,glutamate,hind leg,6,-6
119,227,14495,IN13B019,intrinsic,gaba,12899,16228,MNhl25,motor,glutamate,Acc. ti flexor,10,-10
120,227,14495,IN13B019,intrinsic,gaba,7610,16903,MNhl14,motor,glutamate,Acc. tr flexor,10,-10
121,227,14495,IN13B019,intrinsic,gaba,4070,19613,MNhl14,motor,glutamate,Acc. tr flexor,17,-17
122,230,166759,IN20A.22A064,intrinsic,acetylcholine,12134,13075,MNhl39,motor,glutamate,Ti extensor,24,24
123,235,34928,IN08A028,intrinsic,glutamate,15960,13095,MNhl66,motor,glutamate,hind leg,15,-15
124,235,34928,IN08A028,intrinsic,glutamate,1797,14168,MNhl17,motor,glutamate,Pleural remotor/abductor,7,-7
125,235,34928,IN08A028,intrinsic,glutamate,4427,157432,MNhl22,motor,glutamate,Sternotrochanter,7,-7
126,235,34928,IN08A028,intrinsic,glutamate,12159,164741,MNhl36,motor,glutamate,Sternal anterior rotator,10,-10
127,238,23861,IN14A037,intrinsic,glutamate,16922,10347,MNhl41,motor,glutamate,Ti extensor,26,-26
128,238,23861,IN14A037,intrinsic,glutamate,15960,13095,MNhl66,motor,glutamate,hind leg,10,-10
129,238,23861,IN14A037,intrinsic,glutamate,9492,152642,MNhl08,motor,glutamate,Sternotrochanter,5,-5
130,240,21466,IN08B076,intrinsic,acetylcholine,1797,14168,MNhl17,motor,glutamate,Pleural remotor/abductor,10,10
131,240,21466,IN08B076,intrinsic,acetylcholine,3165,15278,MNhl34,motor,glutamate,Sternal posterior rotator,14,14
132,240,21466,IN08B076,intrinsic,acetylcholine,18192,15883,MNml34,motor,glutamate,Sternal posterior rotator,15,15
133,240,21466,IN08B076,intrinsic,acetylcholine,16958,19773,MNml29,motor,glutamate,middle leg,24,24
134,240,21466,IN08B076,intrinsic,acetylcholine,2870,49886,MNml34,motor,glutamate,Sternal posterior rotator,6,6
135,270,21398,IN13A053,intrinsic,gaba,9392,14020,MNhl35,motor,glutamate,Fe reductor,28,-28
136,270,21398,IN13A053,intrinsic,gaba,18293,18286,MNhl31,motor,glutamate,Pleural remotor/abductor,53,-53
137,270,21398,IN13A053,intrinsic,gaba,10176,21665,MNhl13,motor,glutamate,Fe reductor,15,-15
138,312,19653,IN16B066,intrinsic,glutamate,81,100725,MNwm28,motor,glutamate,iii3,8,-8
139,317,17130,IN08B072,intrinsic,acetylcholine,9629,10866,MNhl37,motor,glutamate,Tr extensor,5,5
140,317,17130,IN08B072,intrinsic,acetylcholine,15434,11400,MNhl34,motor,glutamate,Sternal posterior rotator,8,8
141,317,17130,IN08B072,intrinsic,acetylcholine,12674,12113,MNhl35,motor,glutamate,Fe reductor,13,13
142,317,17130,IN08B072,intrinsic,acetylcholine,11713,12308,MNxm02,motor,glutamate,None,64,64
143,317,17130,IN08B072,intrinsic,acetylcholine,2759,12504,MNhl67,motor,glutamate,hind leg,5,5
144,317,17130,IN08B072,intrinsic,acetylcholine,16497,12529,MNad35,motor,glutamate,abdomen A2,9,9
145,317,17130,IN08B072,intrinsic,acetylcholine,5505,13170,MNhl24,motor,glutamate,Acc. ti flexor,8,8
146,317,17130,IN08B072,intrinsic,acetylcholine,734,13241,MNhl19,motor,glutamate,ltm1-tibia,6,6
147,317,17130,IN08B072,intrinsic,acetylcholine,12901,14095,MNad34,motor,glutamate,abdomen A2,8,8
148,317,17130,IN08B072,intrinsic,acetylcholine,19929,14341,MNad33,motor,glutamate,abdomen A2,10,10
149,317,17130,IN08B072,intrinsic,acetylcholine,2441,14596,MNhl31,motor,glutamate,Pleural remotor/abductor,14,14
150,317,17130,IN08B072,intrinsic,acetylcholine,19114,15262,MNhl17,motor,glutamate,Pleural remotor/abductor,22,22
151,317,17130,IN08B072,intrinsic,acetylcholine,4941,16035,MNml34,motor,glutamate,Sternal posterior rotator,9,9
152,317,17130,IN08B072,intrinsic,acetylcholine,20022,17500,MNad32,motor,glutamate,abdomen A2,15,15
153,317,17130,IN08B072,intrinsic,acetylcholine,12474,19983,MNml11,motor,glutamate,Tr flexor,6,6
154,317,17130,IN08B072,intrinsic,acetylcholine,12094,102786,MNml34,motor,glutamate,Sternal posterior rotator,13,13
155,317,17130,IN08B072,intrinsic,acetylcholine,4061,152621,MNhl08,motor,glutamate,Sternotrochanter,10,10
156,317,17130,IN08B072,intrinsic,acetylcholine,2388,154133,MNhl06,motor,glutamate,Sternal posterior rotator,15,15
157,334,14899,IN09A058,intrinsic,gaba,19443,10811,MNhl38,motor,glutamate,ltm1-tibia,6,-6
158,339,24527,IN01A082,intrinsic,acetylcholine,16520,10462,MNhl41,motor,glutamate,Ti extensor,48,48
159,339,24527,IN01A082,intrinsic,acetylcholine,14057,11022,MNhl36,motor,glutamate,Sternal anterior rotator,8,8
160,339,24527,IN01A082,intrinsic,acetylcholine,5282,11480,MNhl67,motor,glutamate,hind leg,32,32
161,339,24527,IN01A082,intrinsic,acetylcholine,12674,12113,MNhl35,motor,glutamate,Fe reductor,17,17
162,339,24527,IN01A082,intrinsic,acetylcholine,2759,12504,MNhl67,motor,glutamate,hind leg,10,10
163,339,24527,IN01A082,intrinsic,acetylcholine,19697,12725,MNhl27,motor,glutamate,Acc. ti flexor,5,5
164,339,24527,IN01A082,intrinsic,acetylcholine,7954,13006,MNhl39,motor,glutamate,Ti extensor,26,26
165,339,24527,IN01A082,intrinsic,acetylcholine,13750,13144,MNhl65,motor,glutamate,hind leg,5,5
166,339,24527,IN01A082,intrinsic,acetylcholine,19114,15262,MNhl17,motor,glutamate,Pleural remotor/abductor,28,28
167,339,24527,IN01A082,intrinsic,acetylcholine,4486,21991,MNhl21,motor,glutamate,Ti flexor,6,6
168,339,24527,IN01A082,intrinsic,acetylcholine,643,22465,MNhl12,motor,glutamate,Tr flexor,9,9
169,347,26556,IN04B074,intrinsic,acetylcholine,15848,11809,MNhl59,motor,glutamate,hind leg,25,25
170,347,26556,IN04B074,intrinsic,acetylcholine,20517,13543,MNhl59,motor,glutamate,hind leg,5,5
171,347,26556,IN04B074,intrinsic,acetylcholine,165,18471,MNhl36,motor,glutamate,Sternal anterior rotator,55,55
172,347,26556,IN04B074,intrinsic,acetylcholine,16734,27479,MNhl62,motor,glutamate,hind leg,6,6
173,347,26556,IN04B074,intrinsic,acetylcholine,12159,164741,MNhl36,motor,glutamate,Sternal anterior rotator,34,34
174,348,24819,IN20A.22A048,intrinsic,acetylcholine,16520,10462,MNhl41,motor,glutamate,Ti extensor,7,7
175,348,24819,IN20A.22A048,intrinsic,acetylcholine,7954,13006,MNhl39,motor,glutamate,Ti extensor,7,7
176,348,24819,IN20A.22A048,intrinsic,acetylcholine,7219,28219,MNhl33,motor,glutamate,Sternal posterior rotator,10,10
177,367,155528,IN20A.22A067,intrinsic,acetylcholine,19443,10811,MNhl38,motor,glutamate,ltm1-tibia,13,13
178,367,155528,IN20A.22A067,intrinsic,acetylcholine,3879,10968,MNhl68,motor,glutamate,hind leg,30,30
179,367,155528,IN20A.22A067,intrinsic,acetylcholine,5282,11480,MNhl67,motor,glutamate,hind leg,23,23
180,367,155528,IN20A.22A067,intrinsic,acetylcholine,16916,12474,MNhl28,motor,glutamate,Acc. ti flexor,12,12
181,367,155528,IN20A.22A067,intrinsic,acetylcholine,2759,12504,MNhl67,motor,glutamate,hind leg,6,6
182,367,155528,IN20A.22A067,intrinsic,acetylcholine,5505,13170,MNhl24,motor,glutamate,Acc. ti flexor,18,18
183,367,155528,IN20A.22A067,intrinsic,acetylcholine,12899,16228,MNhl25,motor,glutamate,Acc. ti flexor,5,5
184,367,155528,IN20A.22A067,intrinsic,acetylcholine,10615,17970,MNhl62,motor,glutamate,hind leg,17,17
185,367,155528,IN20A.22A067,intrinsic,acetylcholine,3958,18491,MNhl40,motor,glutamate,Ti flexor,16,16
186,367,155528,IN20A.22A067,intrinsic,acetylcholine,4486,21991,MNhl21,motor,glutamate,Ti flexor,11,11
187,374,22094,IN09A028,intrinsic,gaba,17985,11274,MNhl02,motor,glutamate,hind leg,6,-6
188,374,22094,IN09A028,intrinsic,gaba,22697,13434,MNhl18,motor,glutamate,Tergotr.,6,-6
189,374,22094,IN09A028,intrinsic,gaba,2419,152620,MNhl08,motor,glutamate,Sternotrochanter,10,-10
190,374,22094,IN09A028,intrinsic,gaba,4061,152621,MNhl08,motor,glutamate,Sternotrochanter,8,-8
191,377,155820,IN13B074,intrinsic,glutamate,16922,10347,MNhl41,motor,glutamate,Ti extensor,12,-12
192,377,155820,IN13B074,intrinsic,glutamate,165,18471,MNhl36,motor,glutamate,Sternal anterior rotator,8,-8
193,377,155820,IN13B074,intrinsic,glutamate,16734,27479,MNhl62,motor,glutamate,hind leg,5,-5
194,377,155820,IN13B074,intrinsic,glutamate,9492,152642,MNhl08,motor,glutamate,Sternotrochanter,7,-7
195,377,155820,IN13B074,intrinsic,glutamate,4427,157432,MNhl22,motor,glutamate,Sternotrochanter,5,-5
196,377,155820,IN13B074,intrinsic,glutamate,23213,157503,MNhl08,motor,glutamate,Sternotrochanter,5,-5
197,386,31722,IN07B098,intrinsic,acetylcholine,1180,10204,MNwm29,motor,glutamate,ps1,26,26
198,386,31722,IN07B098,intrinsic,acetylcholine,19815,10958,MNwm29,motor,gaba,ps1,6,6
199,386,31722,IN07B098,intrinsic,acetylcholine,21191,46457,MNwm36,motor,glutamate,wing,19,19
200,403,20289,IN06A043,intrinsic,gaba,15740,11375,MNad63,motor,glutamate,abdomen A2,98,-98
201,403,20289,IN06A043,intrinsic,gaba,21757,11428,MNad63,motor,glutamate,abdomen A2,76,-76
202,403,20289,IN06A043,intrinsic,gaba,15848,11809,MNhl59,motor,glutamate,hind leg,164,-164
203,403,20289,IN06A043,intrinsic,gaba,16497,12529,MNad35,motor,glutamate,abdomen A2,122,-122
204,403,20289,IN06A043,intrinsic,gaba,9202,12756,MNad35,motor,glutamate,abdomen A2,194,-194
205,403,20289,IN06A043,intrinsic,gaba,20517,13543,MNhl59,motor,glutamate,hind leg,214,-214
206,403,20289,IN06A043,intrinsic,gaba,5228,13883,MNhl88,motor,glutamate,hind leg,7,-7
207,403,20289,IN06A043,intrinsic,gaba,9697,14159,MNad51,motor,glutamate,abdomen A2,23,-23
208,403,20289,IN06A043,intrinsic,gaba,15518,14461,MNad32,motor,glutamate,abdomen A2,59,-59
209,403,20289,IN06A043,intrinsic,gaba,3008,15857,MNhl87,motor,glutamate,hind leg,64,-64
210,403,20289,IN06A043,intrinsic,gaba,16307,15937,MNad47,motor,unclear,abdomen A2,57,-57
211,403,20289,IN06A043,intrinsic,gaba,12352,16728,MNad45,motor,glutamate,abdomen A2,49,-49
212,403,20289,IN06A043,intrinsic,gaba,21836,16750,MNad45,motor,glutamate,abdomen A2,78,-78
213,403,20289,IN06A043,intrinsic,gaba,14284,17100,MNad47,motor,glutamate,abdomen A2,25,-25
214,403,20289,IN06A043,intrinsic,gaba,20022,17500,MNad32,motor,glutamate,abdomen A2,36,-36
215,403,20289,IN06A043,intrinsic,gaba,7089,17761,MNhl87,motor,glutamate,hind leg,59,-59
216,403,20289,IN06A043,intrinsic,gaba,9104,18373,MNad51,motor,glutamate,abdomen A2,34,-34
217,414,20319,IN12B079,intrinsic,gaba,11713,12308,MNxm02,motor,glutamate,None,7,-7
218,419,18058,IN08A017,intrinsic,glutamate,165,18471,MNhl36,motor,glutamate,Sternal anterior rotator,30,-30
219,419,18058,IN08A017,intrinsic,glutamate,12159,164741,MNhl36,motor,glutamate,Sternal anterior rotator,8,-8
220,422,20483,IN08B088,intrinsic,acetylcholine,7329,10115,MNwm25,motor,glutamate,i1,10,10
221,422,20483,IN08B088,intrinsic,acetylcholine,1863,10460,MNad42,motor,acetylcholine,abdomen A2,33,33
222,422,20483,IN08B088,intrinsic,acetylcholine,21344,10825,MNhm03,motor,glutamate,haltere,9,9
223,422,20483,IN08B088,intrinsic,acetylcholine,17347,11638,MNad40,motor,glutamate,abdomen A2,14,14
224,422,20483,IN08B088,intrinsic,acetylcholine,7006,12603,MNnm09,motor,glutamate,neck,10,10
225,422,20483,IN08B088,intrinsic,acetylcholine,12134,13075,MNhl39,motor,glutamate,Ti extensor,5,5
226,422,20483,IN08B088,intrinsic,acetylcholine,4263,13974,MNnm13,motor,glutamate,neck,27,27
227,422,20483,IN08B088,intrinsic,acetylcholine,14454,15923,MNnm12,motor,glutamate,neck,6,6
228,422,20483,IN08B088,intrinsic,acetylcholine,7169,20860,MNnm04,motor,glutamate,TH1,5,5
229,426,18088,IN21A041,intrinsic,glutamate,16520,10462,MNhl41,motor,glutamate,Ti extensor,42,-42
230,426,18088,IN21A041,intrinsic,glutamate,9629,10866,MNhl37,motor,glutamate,Tr extensor,31,-31
231,426,18088,IN21A041,intrinsic,glutamate,7954,13006,MNhl39,motor,glutamate,Ti extensor,16,-16
232,426,18088,IN21A041,intrinsic,glutamate,620,13069,MNhl22,motor,glutamate,Sternotrochanter,6,-6
233,426,18088,IN21A041,intrinsic,glutamate,2319,15735,MNhl01,motor,glutamate,hind leg,6,-6
234,426,18088,IN21A041,intrinsic,glutamate,2419,152620,MNhl08,motor,glutamate,Sternotrochanter,38,-38
235,426,18088,IN21A041,intrinsic,glutamate,4061,152621,MNhl08,motor,glutamate,Sternotrochanter,9,-9
236,437,17990,IN06B053,intrinsic,gaba,21374,10361,MNwm20,motor,unknown,DLM c-f,7,-7
237,437,17990,IN06B053,intrinsic,gaba,23285,10733,MNwm21,motor,acetylcholine,DVM 1a-c,19,-19
238,437,17990,IN06B053,intrinsic,gaba,21757,11428,MNad63,motor,glutamate,abdomen A2,5,-5
239,437,17990,IN06B053,intrinsic,gaba,23125,11776,MNwm15,motor,glutamate,"DVM 3a, b",10,-10
240,437,17990,IN06B053,intrinsic,gaba,16497,12529,MNad35,motor,glutamate,abdomen A2,12,-12
241,437,17990,IN06B053,intrinsic,gaba,12901,14095,MNad34,motor,glutamate,abdomen A2,5,-5
242,437,17990,IN06B053,intrinsic,gaba,22228,14898,MNwm21,motor,acetylcholine,DVM 1a-c,8,-8
