,source_uid,source_bid,source_name,source_class,source_type,target_uid,target_bid,target_name,target_class,target_type,target_muscle,syn_count,eff_weight
0,2,19484,IN04B090,intrinsic,acetylcholine,15042,10461,MNml41,motor,glutamate,Ti extensor,14,14
1,2,19484,IN04B090,intrinsic,acetylcholine,20793,11489,MNml39,motor,glutamate,Ti extensor,6,6
2,2,19484,IN04B090,intrinsic,acetylcholine,18438,19206,MNml17,motor,glutamate,Pleural remotor/abductor,5,5
3,2,19484,IN04B090,intrinsic,acetylcholine,8478,166337,MNml31,motor,glutamate,Pleural remotor/abductor,7,7
4,8,31111,IN06A058,intrinsic,gaba,9467,10178,MNwm36,motor,glutamate,wing,30,-30
5,8,31111,IN06A058,intrinsic,gaba,1180,10204,MNwm29,motor,glutamate,ps1,9,-9
6,8,31111,IN06A058,intrinsic,gaba,10162,10270,MNwm32,motor,gaba,tp2,21,-21
7,8,31111,IN06A058,intrinsic,gaba,15987,10766,MNwm32,motor,glutamate,tp2,19,-19
8,8,31111,IN06A058,intrinsic,gaba,17060,11663,MNwm15,motor,gaba,"DVM 2a, b",10,-10
9,8,31111,IN06A058,intrinsic,gaba,23125,11776,MNwm15,motor,glutamate,"DVM 3a, b",5,-5
10,8,31111,IN06A058,intrinsic,gaba,9288,13586,MNwm15,motor,glutamate,"DVM 3a, b",23,-23
11,8,31111,IN06A058,intrinsic,gaba,5228,13883,MNhl88,motor,glutamate,hind leg,12,-12
12,8,31111,IN06A058,intrinsic,gaba,7631,15098,MNwm15,motor,glutamate,"DVM 2a, b",6,-6
13,8,31111,IN06A058,intrinsic,gaba,12502,15783,MNwm15,motor,unknown,"DVM 2a, b",14,-14
14,8,31111,IN06A058,intrinsic,gaba,14548,16559,MNwm15,motor,acetylcholine,"DVM 2a, b",9,-9
15,8,31111,IN06A058,intrinsic,gaba,14690,17905,MNhl88,motor,glutamate,hind leg,5,-5
16,8,31111,IN06A058,intrinsic,gaba,21191,46457,MNwm36,motor,glutamate,wing,16,-16
17,8,31111,IN06A058,intrinsic,gaba,14672,162114,MNwm15,motor,glutamate,"DVM 3a, b",11,-11
18,10,20172,IN03A052,intrinsic,acetylcholine,17307,13151,MNhm41,motor,glutamate,hiii2,6,6
19,10,20172,IN03A052,intrinsic,acetylcholine,14172,13717,MNad26,motor,glutamate,abdomen A1,8,8
20,10,20172,IN03A052,intrinsic,acetylcholine,12723,19704,MNml12,motor,glutamate,Tr flexor,8,8
21,15,19252,IN11B015,intrinsic,gaba,10829,10130,MNwm23,motor,glutamate,hg3,12,-12
22,15,19252,IN11B015,intrinsic,gaba,9467,10178,MNwm36,motor,glutamate,wing,16,-16
23,15,19252,IN11B015,intrinsic,gaba,16523,10200,MNwm24,motor,glutamate,hg4,5,-5
24,15,19252,IN11B015,intrinsic,gaba,10162,10270,MNwm32,motor,gaba,tp2,157,-157
25,15,19252,IN11B015,intrinsic,gaba,2927,10669,MNwm21,motor,unknown,DVM 1a-c,21,-21
26,15,19252,IN11B015,intrinsic,gaba,16650,10694,MNwm30,motor,glutamate,ps2,13,-13
27,15,19252,IN11B015,intrinsic,gaba,15987,10766,MNwm32,motor,glutamate,tp2,59,-59
28,15,19252,IN11B015,intrinsic,gaba,9186,12330,MNwm21,motor,glutamate,DVM 1a-c,6,-6
29,15,19252,IN11B015,intrinsic,gaba,11858,13228,MNwm15,motor,acetylcholine,"DVM 3a, b",25,-25
30,15,19252,IN11B015,intrinsic,gaba,9288,13586,MNwm15,motor,glutamate,"DVM 3a, b",27,-27
31,15,19252,IN11B015,intrinsic,gaba,17815,14390,MNwm26,motor,glutamate,i2,7,-7
32,15,19252,IN11B015,intrinsic,gaba,14548,16559,MNwm15,motor,acetylcholine,"DVM 2a, b",5,-5
33,15,19252,IN11B015,intrinsic,gaba,21191,46457,MNwm36,motor,glutamate,wing,10,-10
34,26,17941,IN20A.22A065,intrinsic,acetylcholine,5556,10737,MNml39,motor,acetylcholine,Ti extensor,7,7
35,26,17941,IN20A.22A065,intrinsic,acetylcholine,6746,11115,MNml41,motor,glutamate,Ti extensor,8,8
36,28,17679,IN11B013,intrinsic,gaba,18117,10067,MNwm18,motor,glutamate,b3,8,-8
37,28,17679,IN11B013,intrinsic,gaba,16794,10145,MNwm26,motor,glutamate,i2,34,-34
38,28,17679,IN11B013,intrinsic,gaba,1180,10204,MNwm29,motor,glutamate,ps1,5,-5
39,28,17679,IN11B013,intrinsic,gaba,6612,10225,MNwm25,motor,glutamate,i1,27,-27
40,28,17679,IN11B013,intrinsic,gaba,16650,10694,MNwm30,motor,glutamate,ps2,20,-20
41,28,17679,IN11B013,intrinsic,gaba,23285,10733,MNwm21,motor,acetylcholine,DVM 1a-c,27,-27
42,28,17679,IN11B013,intrinsic,gaba,15987,10766,MNwm32,motor,glutamate,tp2,82,-82
43,28,17679,IN11B013,intrinsic,gaba,7718,11054,MNwm30,motor,glutamate,ps2,49,-49
44,28,17679,IN11B013,intrinsic,gaba,23125,11776,MNwm15,motor,glutamate,"DVM 3a, b",46,-46
45,28,17679,IN11B013,intrinsic,gaba,9186,12330,MNwm21,motor,glutamate,DVM 1a-c,7,-7
46,28,17679,IN11B013,intrinsic,gaba,11858,13228,MNwm15,motor,acetylcholine,"DVM 3a, b",5,-5
47,28,17679,IN11B013,intrinsic,gaba,9288,13586,MNwm15,motor,glutamate,"DVM 3a, b",7,-7
48,28,17679,IN11B013,intrinsic,gaba,22228,14898,MNwm21,motor,acetylcholine,DVM 1a-c,31,-31
49,28,17679,IN11B013,intrinsic,gaba,7631,15098,MNwm15,motor,glutamate,"DVM 2a, b",18,-18
50,28,17679,IN11B013,intrinsic,gaba,12502,15783,MNwm15,motor,unknown,"DVM 2a, b",12,-12
51,28,17679,IN11B013,intrinsic,gaba,328,17160,MNad28,motor,glutamate,abdomen A1,14,-14
52,28,17679,IN11B013,intrinsic,gaba,14672,162114,MNwm15,motor,glutamate,"DVM 3a, b",20,-20
53,28,17679,IN11B013,intrinsic,gaba,3706,38723486729,MNwm21,motor,unknown,DVM 1a-c,53,-53
54,31,17417,IN04B100,intrinsic,acetylcholine,8702,17964,MNml79,motor,glutamate,middle leg,5,5
55,34,27045,IN20A.22A065,intrinsic,acetylcholine,5556,10737,MNml39,motor,acetylcholine,Ti extensor,6,6
56,34,27045,IN20A.22A065,intrinsic,acetylcholine,6746,11115,MNml41,motor,glutamate,Ti extensor,5,5
57,39,28940,IN11A043,intrinsic,acetylcholine,23518,10088,MNwm20,motor,glutamate,DLM c-f,13,13
58,39,28940,IN11A043,intrinsic,acetylcholine,19699,10592,MNwm20,motor,glutamate,DLM c-f,8,8
59,39,28940,IN11A043,intrinsic,acetylcholine,2927,10669,MNwm21,motor,unknown,DVM 1a-c,37,37
60,39,28940,IN11A043,intrinsic,acetylcholine,16650,10694,MNwm30,motor,glutamate,ps2,19,19
61,39,28940,IN11A043,intrinsic,acetylcholine,23285,10733,MNwm21,motor,acetylcholine,DVM 1a-c,17,17
62,39,28940,IN11A043,intrinsic,acetylcholine,7718,11054,MNwm30,motor,glutamate,ps2,11,11
63,39,28940,IN11A043,intrinsic,acetylcholine,17060,11663,MNwm15,motor,gaba,"DVM 2a, b",33,33
64,39,28940,IN11A043,intrinsic,acetylcholine,23125,11776,MNwm15,motor,glutamate,"DVM 3a, b",8,8
65,39,28940,IN11A043,intrinsic,acetylcholine,9186,12330,MNwm21,motor,glutamate,DVM 1a-c,42,42
66,39,28940,IN11A043,intrinsic,acetylcholine,7954,13006,MNhl39,motor,glutamate,Ti extensor,5,5
67,39,28940,IN11A043,intrinsic,acetylcholine,11858,13228,MNwm15,motor,acetylcholine,"DVM 3a, b",15,15
68,39,28940,IN11A043,intrinsic,acetylcholine,9288,13586,MNwm15,motor,glutamate,"DVM 3a, b",43,43
69,39,28940,IN11A043,intrinsic,acetylcholine,16741,14017,MNwm21,motor,unknown,DVM 1a-c,41,41
70,39,28940,IN11A043,intrinsic,acetylcholine,22228,14898,MNwm21,motor,acetylcholine,DVM 1a-c,25,25
71,39,28940,IN11A043,intrinsic,acetylcholine,7631,15098,MNwm15,motor,glutamate,"DVM 2a, b",15,15
72,39,28940,IN11A043,intrinsic,acetylcholine,12502,15783,MNwm15,motor,unknown,"DVM 2a, b",19,19
73,39,28940,IN11A043,intrinsic,acetylcholine,14548,16559,MNwm15,motor,acetylcholine,"DVM 2a, b",25,25
74,39,28940,IN11A043,intrinsic,acetylcholine,14672,162114,MNwm15,motor,glutamate,"DVM 3a, b",23,23
75,39,28940,IN11A043,intrinsic,acetylcholine,9489,162240,MNwm20,motor,glutamate,DLM c-f,7,7
76,39,28940,IN11A043,intrinsic,acetylcholine,3706,38723486729,MNwm21,motor,unknown,DVM 1a-c,6,6
77,43,15478,IN19A032,intrinsic,acetylcholine,12438,10131,MNwm17,motor,glutamate,b2,9,9
78,43,15478,IN19A032,intrinsic,acetylcholine,1863,10460,MNad42,motor,acetylcholine,abdomen A2,16,16
79,43,15478,IN19A032,intrinsic,acetylcholine,16650,10694,MNwm30,motor,glutamate,ps2,7,7
80,43,15478,IN19A032,intrinsic,acetylcholine,21382,10787,MNad34,motor,glutamate,abdomen A1,7,7
81,43,15478,IN19A032,intrinsic,acetylcholine,12179,10904,MNad41,motor,glutamate,abdomen A2,6,6
82,43,15478,IN19A032,intrinsic,acetylcholine,19815,10958,MNwm29,motor,gaba,ps1,9,9
83,43,15478,IN19A032,intrinsic,acetylcholine,15848,11809,MNhl59,motor,glutamate,hind leg,26,26
84,43,15478,IN19A032,intrinsic,acetylcholine,10125,11813,MNhl02,motor,glutamate,hind leg,48,48
85,43,15478,IN19A032,intrinsic,acetylcholine,7006,12603,MNnm09,motor,glutamate,neck,16,16
86,43,15478,IN19A032,intrinsic,acetylcholine,13075,12686,MNfl54,motor,glutamate,Tergopleural/Pleural promotor,5,5
87,43,15478,IN19A032,intrinsic,acetylcholine,9202,12756,MNad35,motor,glutamate,abdomen A2,47,47
88,43,15478,IN19A032,intrinsic,acetylcholine,17307,13151,MNhm41,motor,glutamate,hiii2,6,6
89,43,15478,IN19A032,intrinsic,acetylcholine,7381,13214,MNwm01,motor,glutamate,TTM,39,39
90,43,15478,IN19A032,intrinsic,acetylcholine,17546,13298,MNad26,motor,glutamate,abdomen A1,7,7
91,43,15478,IN19A032,intrinsic,acetylcholine,20517,13543,MNhl59,motor,glutamate,hind leg,16,16
92,43,15478,IN19A032,intrinsic,acetylcholine,14172,13717,MNad26,motor,glutamate,abdomen A1,30,30
93,43,15478,IN19A032,intrinsic,acetylcholine,4263,13974,MNnm13,motor,glutamate,neck,34,34
94,43,15478,IN19A032,intrinsic,acetylcholine,21152,16068,MNad30,motor,glutamate,abdomen A2,6,6
95,43,15478,IN19A032,intrinsic,acetylcholine,16737,16278,MNad46,motor,acetylcholine,abdomen A2,6,6
96,43,15478,IN19A032,intrinsic,acetylcholine,13025,17216,MNhm43,motor,glutamate,haltere,5,5
97,43,15478,IN19A032,intrinsic,acetylcholine,18716,17316,MNwm02,motor,glutamate,TTM,7,7
98,43,15478,IN19A032,intrinsic,acetylcholine,14690,17905,MNhl88,motor,glutamate,hind leg,5,5
99,43,15478,IN19A032,intrinsic,acetylcholine,165,18471,MNhl36,motor,glutamate,Sternal anterior rotator,27,27
100,43,15478,IN19A032,intrinsic,acetylcholine,1043,20119,MNml36,motor,glutamate,Sternal anterior rotator,11,11
101,43,15478,IN19A032,intrinsic,acetylcholine,7169,20860,MNnm04,motor,glutamate,TH1,18,18
102,43,15478,IN19A032,intrinsic,acetylcholine,17515,26566,MNfl36,motor,glutamate,Sternal anterior rotator,13,13
103,43,15478,IN19A032,intrinsic,acetylcholine,9492,152642,MNhl08,motor,glutamate,Sternotrochanter,15,15
104,43,15478,IN19A032,intrinsic,acetylcholine,23213,157503,MNhl08,motor,glutamate,Sternotrochanter,19,19
105,43,15478,IN19A032,intrinsic,acetylcholine,6007,159762,MNhl18,motor,glutamate,Tergotr.,7,7
106,43,15478,IN19A032,intrinsic,acetylcholine,10273,178721,MNnm10,motor,glutamate,neck,8,8
107,45,15216,IN08B062,intrinsic,acetylcholine,12437,10527,MNad68,motor,acetylcholine,abdomen,25,25
108,45,15216,IN08B062,intrinsic,acetylcholine,22307,10660,MNad68,motor,gaba,abdomen,31,31
109,45,15216,IN08B062,intrinsic,acetylcholine,17594,10865,MNad67,motor,gaba,abdomen,18,18
110,45,15216,IN08B062,intrinsic,acetylcholine,23252,11063,MNad67,motor,glutamate,abdomen,17,17
111,45,15216,IN08B062,intrinsic,acetylcholine,23356,11265,MNad65,motor,acetylcholine,abdomen,6,6
112,45,15216,IN08B062,intrinsic,acetylcholine,6851,11549,MNad62,motor,glutamate,abdomen,10,10
113,45,15216,IN08B062,intrinsic,acetylcholine,6532,14329,MNad62,motor,gaba,abdomen,12,12
114,45,15216,IN08B062,intrinsic,acetylcholine,17269,15846,MNad08,motor,acetylcholine,abdomen,8,8
115,45,15216,IN08B062,intrinsic,acetylcholine,17111,159031,MNad08,motor,unknown,abdomen,13,13
116,64,15276,IN19B033,intrinsic,acetylcholine,16793,10011,MNwm03,motor,glutamate,hg1,10,10
117,64,15276,IN19B033,intrinsic,acetylcholine,19970,10013,MNwm16,motor,glutamate,b1,59,59
