,source_uid,source_bid,source_name,source_class,source_type,target_uid,target_bid,target_name,target_class,target_type,target_muscle,syn_count,eff_weight
118,64,15276,IN19B033,intrinsic,acetylcholine,12036,10014,MNwm20,motor,gaba,DLM c-f,8,8
119,64,15276,IN19B033,intrinsic,acetylcholine,4751,10017,MNwm16,motor,glutamate,b1,9,9
120,64,15276,IN19B033,intrinsic,acetylcholine,1864,10064,MNwm17,motor,glutamate,b2,8,8
121,64,15276,IN19B033,intrinsic,acetylcholine,19039,10074,MNwm19,motor,acetylcholine,"DLM a, b",5,5
122,64,15276,IN19B033,intrinsic,acetylcholine,9899,10123,MNwm03,motor,glutamate,hg1,52,52
123,64,15276,IN19B033,intrinsic,acetylcholine,10829,10130,MNwm23,motor,glutamate,hg3,5,5
124,64,15276,IN19B033,intrinsic,acetylcholine,12438,10131,MNwm17,motor,glutamate,b2,76,76
125,64,15276,IN19B033,intrinsic,acetylcholine,16523,10200,MNwm24,motor,glutamate,hg4,47,47
126,64,15276,IN19B033,intrinsic,acetylcholine,8520,10433,MNwm24,motor,glutamate,hg4,8,8
127,64,15276,IN19B033,intrinsic,acetylcholine,3512,10589,MNwm19,motor,glutamate,"DLM a, b",11,11
128,64,15276,IN19B033,intrinsic,acetylcholine,20793,11489,MNml39,motor,glutamate,Ti extensor,5,5
129,64,15276,IN19B033,intrinsic,acetylcholine,2382,11991,MNwm35,motor,glutamate,wing,25,25
130,64,15276,IN19B033,intrinsic,acetylcholine,19946,12506,MNad36,motor,glutamate,abdomen A2,23,23
131,64,15276,IN19B033,intrinsic,acetylcholine,7668,12927,MNwm22,motor,glutamate,hg2,93,93
132,64,15276,IN19B033,intrinsic,acetylcholine,7381,13214,MNwm01,motor,glutamate,TTM,18,18
133,64,15276,IN19B033,intrinsic,acetylcholine,17815,14390,MNwm26,motor,glutamate,i2,6,6
134,64,15276,IN19B033,intrinsic,acetylcholine,165,18471,MNhl36,motor,glutamate,Sternal anterior rotator,7,7
135,64,15276,IN19B033,intrinsic,acetylcholine,18254,22584,MNwm22,motor,unknown,hg2,18,18
136,64,15276,IN19B033,intrinsic,acetylcholine,9492,152642,MNhl08,motor,glutamate,Sternotrochanter,18,18
137,64,15276,IN19B033,intrinsic,acetylcholine,4427,157432,MNhl22,motor,glutamate,Sternotrochanter,19,19
138,64,15276,IN19B033,intrinsic,acetylcholine,14115,162912,MNhl37,motor,glutamate,Tr extensor,6,6
139,67,13277,IN19B031,intrinsic,acetylcholine,7310,10055,MNwm18,motor,glutamate,b3,9,9
140,67,13277,IN19B031,intrinsic,acetylcholine,23518,10088,MNwm20,motor,glutamate,DLM c-f,8,8
141,67,13277,IN19B031,intrinsic,acetylcholine,16794,10145,MNwm26,motor,glutamate,i2,7,7
142,67,13277,IN19B031,intrinsic,acetylcholine,10162,10270,MNwm32,motor,gaba,tp2,18,18
143,67,13277,IN19B031,intrinsic,acetylcholine,1863,10460,MNad42,motor,acetylcholine,abdomen A2,5,5
144,67,13277,IN19B031,intrinsic,acetylcholine,2927,10669,MNwm21,motor,unknown,DVM 1a-c,30,30
145,67,13277,IN19B031,intrinsic,acetylcholine,16650,10694,MNwm30,motor,glutamate,ps2,69,69
146,67,13277,IN19B031,intrinsic,acetylcholine,23285,10733,MNwm21,motor,acetylcholine,DVM 1a-c,8,8
147,67,13277,IN19B031,intrinsic,acetylcholine,15987,10766,MNwm32,motor,glutamate,tp2,65,65
148,67,13277,IN19B031,intrinsic,acetylcholine,7718,11054,MNwm30,motor,glutamate,ps2,34,34
149,67,13277,IN19B031,intrinsic,acetylcholine,17060,11663,MNwm15,motor,gaba,"DVM 2a, b",12,12
150,67,13277,IN19B031,intrinsic,acetylcholine,23125,11776,MNwm15,motor,glutamate,"DVM 3a, b",22,22
151,67,13277,IN19B031,intrinsic,acetylcholine,9186,12330,MNwm21,motor,glutamate,DVM 1a-c,37,37
152,67,13277,IN19B031,intrinsic,acetylcholine,19946,12506,MNad36,motor,glutamate,abdomen A2,7,7
153,67,13277,IN19B031,intrinsic,acetylcholine,11858,13228,MNwm15,motor,acetylcholine,"DVM 3a, b",22,22
154,67,13277,IN19B031,intrinsic,acetylcholine,10637,13478,MNxm03,motor,glutamate,None,5,5
155,67,13277,IN19B031,intrinsic,acetylcholine,4279,13480,MNad10,motor,glutamate,abdomen,19,19
156,67,13277,IN19B031,intrinsic,acetylcholine,9288,13586,MNwm15,motor,glutamate,"DVM 3a, b",19,19
157,67,13277,IN19B031,intrinsic,acetylcholine,16741,14017,MNwm21,motor,unknown,DVM 1a-c,48,48
158,67,13277,IN19B031,intrinsic,acetylcholine,5893,14267,MNhm37,motor,glutamate,hDVM,6,6
159,67,13277,IN19B031,intrinsic,acetylcholine,17815,14390,MNwm26,motor,glutamate,i2,17,17
160,67,13277,IN19B031,intrinsic,acetylcholine,7631,15098,MNwm15,motor,glutamate,"DVM 2a, b",7,7
161,67,13277,IN19B031,intrinsic,acetylcholine,8584,15561,MNad31,motor,glutamate,abdomen A2,10,10
162,67,13277,IN19B031,intrinsic,acetylcholine,12502,15783,MNwm15,motor,unknown,"DVM 2a, b",5,5
163,67,13277,IN19B031,intrinsic,acetylcholine,14548,16559,MNwm15,motor,acetylcholine,"DVM 2a, b",19,19
164,67,13277,IN19B031,intrinsic,acetylcholine,15635,17022,MNhm38,motor,glutamate,hi1,41,41
165,67,13277,IN19B031,intrinsic,acetylcholine,19190,20786,MNhm38,motor,glutamate,hi1,30,30
166,67,13277,IN19B031,intrinsic,acetylcholine,7450,20969,MNhm40,motor,glutamate,hi2,7,7
167,67,13277,IN19B031,intrinsic,acetylcholine,14672,162114,MNwm15,motor,glutamate,"DVM 3a, b",15,15
168,67,13277,IN19B031,intrinsic,acetylcholine,3706,38723486729,MNwm21,motor,unknown,DVM 1a-c,16,16
169,82,156107,IN20A.22A045,intrinsic,acetylcholine,13860,16497,MNml84,motor,glutamate,middle leg,9,9
170,82,156107,IN20A.22A045,intrinsic,acetylcholine,18438,19206,MNml17,motor,glutamate,Pleural remotor/abductor,5,5
171,82,156107,IN20A.22A045,intrinsic,acetylcholine,8642,24493,MNwm02,motor,glutamate,TTM,12,12
172,92,13209,IN13A018,intrinsic,gaba,15042,10461,MNml41,motor,glutamate,Ti extensor,56,-56
173,92,13209,IN13A018,intrinsic,gaba,553,18716,MNml22,motor,glutamate,Sternotrochanter,14,-14
174,92,13209,IN13A018,intrinsic,gaba,1746,19094,MNml08,motor,glutamate,Sternotrochanter,10,-10
175,92,13209,IN13A018,intrinsic,gaba,16877,24669,MNml36,motor,glutamate,Sternal anterior rotator,19,-19
176,92,13209,IN13A018,intrinsic,gaba,6695,35950,MNml78,motor,glutamate,middle leg,5,-5
177,92,13209,IN13A018,intrinsic,gaba,555,39941,MNml78,motor,glutamate,middle leg,5,-5
178,92,13209,IN13A018,intrinsic,gaba,13678,162833,MNml37,motor,glutamate,Tr extensor,12,-12
179,92,13209,IN13A018,intrinsic,gaba,9631,162868,MNml24,motor,glutamate,Acc. ti flexor,26,-26
180,92,13209,IN13A018,intrinsic,gaba,14920,175327,MNml18,motor,glutamate,Tergotr.,8,-8
181,96,11606,IN21A009,intrinsic,glutamate,17059,11529,MNml33,motor,glutamate,Sternal posterior rotator,233,-233
182,96,11606,IN21A009,intrinsic,glutamate,6016,35432,MNml03,motor,glutamate,Fe reductor,23,-23
183,96,11606,IN21A009,intrinsic,glutamate,17,42738,MNml03,motor,glutamate,Fe reductor,21,-21
184,109,11240,IN13A009,intrinsic,gaba,17059,11529,MNml33,motor,glutamate,Sternal posterior rotator,5,-5
185,109,11240,IN13A009,intrinsic,gaba,12808,13033,MNml23,motor,glutamate,ltm,31,-31
186,109,11240,IN13A009,intrinsic,gaba,18912,13280,MNml40,motor,glutamate,Ti flexor,27,-27
187,109,11240,IN13A009,intrinsic,gaba,10491,14849,MNml28,motor,glutamate,Acc. ti flexor,5,-5
188,109,11240,IN13A009,intrinsic,gaba,8316,15616,MNml80,motor,glutamate,middle leg,28,-28
189,109,11240,IN13A009,intrinsic,gaba,15773,16017,MNml85,motor,glutamate,middle leg,8,-8
190,109,11240,IN13A009,intrinsic,gaba,22801,16495,MNml26,motor,glutamate,Acc. ti flexor,50,-50
191,109,11240,IN13A009,intrinsic,gaba,14402,17930,MNml09,motor,glutamate,Tr extensor,19,-19
192,109,11240,IN13A009,intrinsic,gaba,15074,18448,MNml40,motor,glutamate,Ti flexor,16,-16
193,109,11240,IN13A009,intrinsic,gaba,17081,18664,MNml27,motor,glutamate,Acc. ti flexor,23,-23
194,109,11240,IN13A009,intrinsic,gaba,553,18716,MNml22,motor,glutamate,Sternotrochanter,29,-29
195,109,11240,IN13A009,intrinsic,gaba,1746,19094,MNml08,motor,glutamate,Sternotrochanter,9,-9
196,109,11240,IN13A009,intrinsic,gaba,10836,19758,MNml38,motor,glutamate,ltm1-tibia,11,-11
197,109,11240,IN13A009,intrinsic,gaba,17884,22175,MNwm01,motor,glutamate,TTM,66,-66
198,109,11240,IN13A009,intrinsic,gaba,16346,24443,MNml25,motor,glutamate,Acc. ti flexor,10,-10
199,109,11240,IN13A009,intrinsic,gaba,8642,24493,MNwm02,motor,glutamate,TTM,134,-134
200,109,11240,IN13A009,intrinsic,gaba,13504,32253,MNml79,motor,glutamate,middle leg,5,-5
201,109,11240,IN13A009,intrinsic,gaba,6695,35950,MNml78,motor,glutamate,middle leg,7,-7
202,109,11240,IN13A009,intrinsic,gaba,13678,162833,MNml37,motor,glutamate,Tr extensor,8,-8
203,109,11240,IN13A009,intrinsic,gaba,9631,162868,MNml24,motor,glutamate,Acc. ti flexor,10,-10
204,109,11240,IN13A009,intrinsic,gaba,5790,167438,MNml30,motor,glutamate,Ti flexor,10,-10
205,109,11240,IN13A009,intrinsic,gaba,14920,175327,MNml18,motor,glutamate,Tergotr.,45,-45
206,109,11240,IN13A009,intrinsic,gaba,21025,192299,MNml21,motor,glutamate,Ti flexor,17,-17
207,116,10716,IN07B048,intrinsic,acetylcholine,12036,10014,MNwm20,motor,gaba,DLM c-f,23,23
208,116,10716,IN07B048,intrinsic,acetylcholine,19039,10074,MNwm19,motor,acetylcholine,"DLM a, b",9,9
209,116,10716,IN07B048,intrinsic,acetylcholine,23518,10088,MNwm20,motor,glutamate,DLM c-f,12,12
210,116,10716,IN07B048,intrinsic,acetylcholine,6612,10225,MNwm25,motor,glutamate,i1,5,5
211,116,10716,IN07B048,intrinsic,acetylcholine,21374,10361,MNwm20,motor,unknown,DLM c-f,10,10
212,116,10716,IN07B048,intrinsic,acetylcholine,3512,10589,MNwm19,motor,glutamate,"DLM a, b",38,38
213,116,10716,IN07B048,intrinsic,acetylcholine,19699,10592,MNwm20,motor,glutamate,DLM c-f,14,14
214,116,10716,IN07B048,intrinsic,acetylcholine,22290,10892,MNwm20,motor,unknown,DLM c-f,16,16
215,116,10716,IN07B048,intrinsic,acetylcholine,17060,11663,MNwm15,motor,gaba,"DVM 2a, b",9,9
216,116,10716,IN07B048,intrinsic,acetylcholine,9186,12330,MNwm21,motor,glutamate,DVM 1a-c,6,6
217,116,10716,IN07B048,intrinsic,acetylcholine,9288,13586,MNwm15,motor,glutamate,"DVM 3a, b",5,5
218,116,10716,IN07B048,intrinsic,acetylcholine,16741,14017,MNwm21,motor,unknown,DVM 1a-c,18,18
219,116,10716,IN07B048,intrinsic,acetylcholine,22228,14898,MNwm21,motor,acetylcholine,DVM 1a-c,9,9
220,116,10716,IN07B048,intrinsic,acetylcholine,14548,16559,MNwm15,motor,acetylcholine,"DVM 2a, b",8,8
221,116,10716,IN07B048,intrinsic,acetylcholine,18198,169914,MNwm20,motor,glutamate,DLM c-f,7,7
222,116,10716,IN07B048,intrinsic,acetylcholine,3706,38723486729,MNwm21,motor,unknown,DVM 1a-c,5,5
223,124,11404,IN17A017,intrinsic,acetylcholine,7022,10110,MNwm34,motor,glutamate,TTM,10,10
224,124,11404,IN17A017,intrinsic,acetylcholine,15042,10461,MNml41,motor,glutamate,Ti extensor,163,163
225,124,11404,IN17A017,intrinsic,acetylcholine,20793,11489,MNml39,motor,glutamate,Ti extensor,6,6
226,124,11404,IN17A017,intrinsic,acetylcholine,17059,11529,MNml33,motor,glutamate,Sternal posterior rotator,10,10
227,124,11404,IN17A017,intrinsic,acetylcholine,14402,17930,MNml09,motor,glutamate,Tr extensor,13,13
228,124,11404,IN17A017,intrinsic,acetylcholine,553,18716,MNml22,motor,glutamate,Sternotrochanter,45,45
229,124,11404,IN17A017,intrinsic,acetylcholine,1746,19094,MNml08,motor,glutamate,Sternotrochanter,34,34
230,124,11404,IN17A017,intrinsic,acetylcholine,17884,22175,MNwm01,motor,glutamate,TTM,97,97
231,124,11404,IN17A017,intrinsic,acetylcholine,8642,24493,MNwm02,motor,glutamate,TTM,46,46
232,124,11404,IN17A017,intrinsic,acetylcholine,18973,48865,MNml04,motor,glutamate,ltm,5,5
233,124,11404,IN17A017,intrinsic,acetylcholine,13678,162833,MNml37,motor,glutamate,Tr extensor,13,13
234,124,11404,IN17A017,intrinsic,acetylcholine,14920,175327,MNml18,motor,glutamate,Tergotr.,28,28
235,127,11142,IN11B001,intrinsic,glutamate,18117,10067,MNwm18,motor,glutamate,b3,28,-28
236,127,11142,IN11B001,intrinsic,glutamate,16794,10145,MNwm26,motor,glutamate,i2,5,-5
237,127,11142,IN11B001,intrinsic,glutamate,6612,10225,MNwm25,motor,glutamate,i1,66,-66
238,127,11142,IN11B001,intrinsic,glutamate,6018,49582,MNhm42,motor,glutamate,haltere,20,-20
239,135,20770,IN03B059,intrinsic,gaba,12438,10131,MNwm17,motor,glutamate,b2,48,-48
240,137,163040,IN11A025,intrinsic,acetylcholine,1863,10460,MNad42,motor,acetylcholine,abdomen A2,9,9
241,137,163040,IN11A025,intrinsic,acetylcholine,3222,10614,MNwm27,motor,glutamate,iii1,6,6
242,156,18307,IN08A011,intrinsic,glutamate,9467,10178,MNwm36,motor,glutamate,wing,39,-39
243,156,18307,IN08A011,intrinsic,glutamate,10162,10270,MNwm32,motor,gaba,tp2,63,-63
244,156,18307,IN08A011,intrinsic,glutamate,902,10521,MNwm31,motor,glutamate,tp1,140,-140
245,156,18307,IN08A011,intrinsic,glutamate,7984,10543,MNwm33,motor,glutamate,tp,10,-10
246,156,18307,IN08A011,intrinsic,glutamate,16650,10694,MNwm30,motor,glutamate,ps2,28,-28
247,156,18307,IN08A011,intrinsic,glutamate,15987,10766,MNwm32,motor,glutamate,tp2,24,-24
