,source_uid,source_bid,source_name,source_class,target_uid,target_bid,target_name,target_class,nt_type,neuropil,syn_count,eff_weight
0,21463,12141,DNxn086,descending,6,31373,IN00A068,intrinsic,acetylcholine,T3,14,14
1,22871,12257,DNxn086,descending,6,31373,IN00A068,intrinsic,acetylcholine,T3,10,10
2,12642,16837,DNxn057,descending,6,31373,IN00A068,intrinsic,gaba,T3,23,-23
3,7624,17621,DNxn057,descending,6,31373,IN00A068,intrinsic,gaba,T3,33,-33
4,5945,10103,DNxl041,descending,22,19940,IN16B074,intrinsic,gaba,T3,9,-9
5,3647,11613,DNxl120,descending,22,19940,IN16B074,intrinsic,gaba,T3,6,-6
6,10828,10526,DNxl004,descending,23,19544,IN12B027,intrinsic,glutamate,T3,8,-8
7,21371,11019,DNxl129,descending,23,19544,IN12B027,intrinsic,acetylcholine,T3,13,13
8,10002,11477,DNxl019,descending,23,19544,IN12B027,intrinsic,gaba,T3,7,-7
9,5661,11859,DNxl118,descending,23,19544,IN12B027,intrinsic,gaba,T3,8,-8
10,14500,11887,DNxl118,descending,23,19544,IN12B027,intrinsic,gaba,T3,9,-9
11,20238,12451,DNxl115,descending,23,19544,IN12B027,intrinsic,gaba,T3,19,-19
12,20372,13049,DNxl106,descending,23,19544,IN12B027,intrinsic,acetylcholine,T3,7,7
13,15030,13088,DNxl106,descending,23,19544,IN12B027,intrinsic,acetylcholine,T3,6,6
14,15382,13273,DNxl106,descending,23,19544,IN12B027,intrinsic,acetylcholine,T3,8,8
15,718,13473,DNxl102,descending,23,19544,IN12B027,intrinsic,acetylcholine,T3,39,39
16,22668,13502,DNxl102,descending,23,19544,IN12B027,intrinsic,acetylcholine,T3,34,34
17,8990,15708,DNxl025,descending,23,19544,IN12B027,intrinsic,acetylcholine,T3,5,5
18,7051,17507,DNxn077,descending,23,19544,IN12B027,intrinsic,acetylcholine,T3,5,5
19,7486,29767,DNxl066,descending,23,19544,IN12B027,intrinsic,acetylcholine,T3,7,7
20,4738,33339,DNxl063,descending,23,19544,IN12B027,intrinsic,acetylcholine,T3,7,7
21,19122,15426,DNxl068,descending,29,17283,IN03A048,intrinsic,acetylcholine,T3,5,5
22,14692,17643,DNxl008,descending,29,17283,IN03A048,intrinsic,acetylcholine,T3,11,11
23,10269,12965,DNxl112,descending,33,28910,IN14A082,intrinsic,glutamate,T3,10,-10
24,14348,10967,DNxl024,descending,49,26843,IN20A.22A060,intrinsic,acetylcholine,T3,5,5
25,18927,11311,DNxl023,descending,49,26843,IN20A.22A060,intrinsic,acetylcholine,T3,7,7
26,12727,10240,DNxl048,descending,54,14984,IN18B034,intrinsic,gaba,T3,9,-9
27,1178,10466,DNxl040,descending,54,14984,IN18B034,intrinsic,gaba,T3,8,-8
28,14071,10656,DNxl054,descending,54,14984,IN18B034,intrinsic,acetylcholine,T3,7,7
29,12446,10819,DNxn031,descending,54,14984,IN18B034,intrinsic,acetylcholine,T3,11,11
30,4593,10962,DNxn031,descending,54,14984,IN18B034,intrinsic,acetylcholine,T3,8,8
31,3243,11070,DNxl054,descending,54,14984,IN18B034,intrinsic,acetylcholine,T3,9,9
32,3880,11102,DNxl127,descending,54,14984,IN18B034,intrinsic,gaba,T3,21,-21
33,16659,11120,DNxl049,descending,54,14984,IN18B034,intrinsic,acetylcholine,T3,13,13
34,6154,11427,DNxn163,descending,54,14984,IN18B034,intrinsic,acetylcholine,T3,6,6
35,7424,11573,DNxn176,descending,54,14984,IN18B034,intrinsic,acetylcholine,T3,5,5
36,12969,11856,DNxl119,descending,54,14984,IN18B034,intrinsic,acetylcholine,T3,25,25
37,5939,11968,DNxn181,descending,54,14984,IN18B034,intrinsic,gaba,T3,6,-6
38,21463,12141,DNxn086,descending,54,14984,IN18B034,intrinsic,acetylcholine,T3,7,7
39,22871,12257,DNxn086,descending,54,14984,IN18B034,intrinsic,acetylcholine,T3,5,5
40,20344,12855,DNlt007,descending,54,14984,IN18B034,intrinsic,acetylcholine,T3,8,8
41,10269,12965,DNxl112,descending,54,14984,IN18B034,intrinsic,glutamate,T3,20,-20
42,12889,16326,DNxl062,descending,54,14984,IN18B034,intrinsic,acetylcholine,T3,7,7
43,3969,16522,DNxn098,descending,54,14984,IN18B034,intrinsic,acetylcholine,T3,17,17
44,3148,17113,DNxn091,descending,54,14984,IN18B034,intrinsic,acetylcholine,T3,9,9
45,3808,17467,DNxn091,descending,54,14984,IN18B034,intrinsic,acetylcholine,T3,13,13
46,4221,18010,DNxl030,descending,54,14984,IN18B034,intrinsic,acetylcholine,T3,87,87
47,7739,18189,DNxl030,descending,54,14984,IN18B034,intrinsic,acetylcholine,T3,11,11
48,17100,18596,DNxn173,descending,54,14984,IN18B034,intrinsic,acetylcholine,T3,11,11
49,2018,18777,DNxn173,descending,54,14984,IN18B034,intrinsic,acetylcholine,T3,25,25
50,20948,21909,DNlt001,descending,54,14984,IN18B034,intrinsic,glutamate,T3,7,-7
51,920,21916,DNxl050,descending,54,14984,IN18B034,intrinsic,gaba,T3,9,-9
52,1588,22240,DNxn172,descending,54,14984,IN18B034,intrinsic,gaba,T3,11,-11
53,22265,24324,DNxn132,descending,54,14984,IN18B034,intrinsic,acetylcholine,T3,9,9
54,22311,176812,DNxn066,descending,54,14984,IN18B034,intrinsic,gaba,T3,10,-10
55,1544,190167,DNlt011,descending,54,14984,IN18B034,intrinsic,acetylcholine,T3,26,26
56,18391,10012,DNxn033,descending,85,25068,IN21A041,intrinsic,acetylcholine,T3,30,30
57,12982,10021,DNxn033,descending,85,25068,IN21A041,intrinsic,acetylcholine,T3,9,9
58,20674,10531,DNxn003,descending,85,25068,IN21A041,intrinsic,acetylcholine,T3,5,5
59,16937,10639,DNxn142,descending,85,25068,IN21A041,intrinsic,acetylcholine,T3,13,13
60,10299,11160,DNxn082,descending,85,25068,IN21A041,intrinsic,glutamate,T3,22,-22
61,18534,11268,DNxn082,descending,85,25068,IN21A041,intrinsic,glutamate,T3,16,-16
62,13510,11588,DNxn026,descending,85,25068,IN21A041,intrinsic,acetylcholine,T3,12,12
63,21483,11647,DNxn163,descending,85,25068,IN21A041,intrinsic,acetylcholine,T3,10,10
64,22450,11684,DNxn034,descending,85,25068,IN21A041,intrinsic,acetylcholine,T3,14,14
65,9886,10093,DNxl058,descending,86,24672,IN09A045,intrinsic,acetylcholine,T3,14,14
66,22426,11228,DNxn027,descending,86,24672,IN09A045,intrinsic,acetylcholine,T3,5,5
67,4308,11541,DNxl122,descending,86,24672,IN09A045,intrinsic,acetylcholine,T3,7,7
68,5011,11931,DNxl020,descending,86,24672,IN09A045,intrinsic,acetylcholine,T3,16,16
69,23230,12898,DNxl026,descending,86,24672,IN09A045,intrinsic,acetylcholine,T3,5,5
70,18499,12939,DNxl022,descending,86,24672,IN09A045,intrinsic,acetylcholine,T3,17,17
71,718,13473,DNxl102,descending,86,24672,IN09A045,intrinsic,acetylcholine,T3,10,10
72,22668,13502,DNxl102,descending,86,24672,IN09A045,intrinsic,acetylcholine,T3,19,19
73,6558,14523,DNxn049,descending,86,24672,IN09A045,intrinsic,acetylcholine,T3,5,5
74,10070,17031,DNxl092,descending,86,24672,IN09A045,intrinsic,acetylcholine,T3,5,5
75,647,21807,DNxn171,descending,86,24672,IN09A045,intrinsic,acetylcholine,T3,7,7
76,6064,22194,DNxn171,descending,86,24672,IN09A045,intrinsic,acetylcholine,T3,13,13
77,5930,11938,DNxn040,descending,94,165869,IN07B103,intrinsic,acetylcholine,T3,6,6
78,23494,12319,DNut002,descending,94,165869,IN07B103,intrinsic,acetylcholine,T3,15,15
79,20074,13336,DNxn122,descending,94,165869,IN07B103,intrinsic,acetylcholine,T3,7,7
80,5433,19535,DNut053,descending,94,165869,IN07B103,intrinsic,acetylcholine,T3,16,16
81,11339,23026,DNxn014,descending,94,165869,IN07B103,intrinsic,gaba,T3,5,-5
82,15365,24840,DNut015,descending,94,165869,IN07B103,intrinsic,gaba,T3,12,-12
83,6157,24919,DNut015,descending,94,165869,IN07B103,intrinsic,gaba,T3,7,-7
84,10903,25050,DNut015,descending,94,165869,IN07B103,intrinsic,gaba,T3,21,-21
85,7103,25128,DNut015,descending,94,165869,IN07B103,intrinsic,gaba,T3,14,-14
86,23071,25642,DNut019,descending,94,165869,IN07B103,intrinsic,acetylcholine,T3,9,9
87,23500,10058,DNxl048,descending,112,10978,IN21A004,intrinsic,gaba,T3,41,-41
88,6308,10086,DNxl055,descending,112,10978,IN21A004,intrinsic,gaba,T3,9,-9
89,18128,10097,DNxl080,descending,112,10978,IN21A004,intrinsic,gaba,T3,13,-13
90,11747,10107,DNxl041,descending,112,10978,IN21A004,intrinsic,gaba,T3,12,-12
91,15568,10291,DNxl134,descending,112,10978,IN21A004,intrinsic,acetylcholine,T3,49,49
92,9604,10410,DNxn012,descending,112,10978,IN21A004,intrinsic,glutamate,T3,7,-7
93,12732,10532,DNxl040,descending,112,10978,IN21A004,intrinsic,gaba,T3,38,-38
94,19813,11220,DNxl127,descending,112,10978,IN21A004,intrinsic,gaba,T3,34,-34
95,21563,14836,DNxl099,descending,112,10978,IN21A004,intrinsic,acetylcholine,T3,9,9
96,19122,15426,DNxl068,descending,112,10978,IN21A004,intrinsic,acetylcholine,T3,16,16
97,2200,24107,DNxl035,descending,112,10978,IN21A004,intrinsic,acetylcholine,T3,25,25
98,14965,14931,DNxn001,descending,118,32203,IN06A138,intrinsic,acetylcholine,T3,5,5
99,21371,11019,DNxl129,descending,122,20740,IN20A.22A019,intrinsic,acetylcholine,T3,8,8
100,15382,13273,DNxl106,descending,122,20740,IN20A.22A019,intrinsic,acetylcholine,T3,7,7
101,16620,13419,DNxl106,descending,122,20740,IN20A.22A019,intrinsic,acetylcholine,T3,14,14
102,14850,13809,DNxn050,descending,122,20740,IN20A.22A019,intrinsic,acetylcholine,T3,5,5
103,23500,10058,DNxl048,descending,146,18539,IN03A083,intrinsic,gaba,T3,11,-11
104,2703,25742,DNut015,descending,150,30166,IN07B099,intrinsic,gaba,T3,12,-12
105,17688,16053,DNxl094,descending,173,18763,IN04B032,intrinsic,glutamate,T3,9,-9
106,5256,11286,DNxn124,descending,186,25472,IN02A045,intrinsic,acetylcholine,T3,5,5
107,8449,14409,DNxn036,descending,186,25472,IN02A045,intrinsic,acetylcholine,T3,32,32
108,23309,17794,DNut020,descending,186,25472,IN02A045,intrinsic,glutamate,T3,6,-6
109,22364,18153,DNxn075,descending,186,25472,IN02A045,intrinsic,acetylcholine,T3,19,19
110,21411,18244,DNxn121,descending,186,25472,IN02A045,intrinsic,gaba,T3,21,-21
111,17380,18279,DNxn075,descending,186,25472,IN02A045,intrinsic,acetylcholine,T3,9,9
112,7045,20030,DNut052,descending,186,25472,IN02A045,intrinsic,acetylcholine,T3,48,48
113,11879,22758,DNut052,descending,186,25472,IN02A045,intrinsic,acetylcholine,T3,11,11
114,4418,23834,DNut015,descending,186,25472,IN02A045,intrinsic,gaba,T3,5,-5
115,21470,32312,DNit005,descending,186,25472,IN02A045,intrinsic,gaba,T3,6,-6
116,9604,10410,DNxn012,descending,188,16136,IN04B022,intrinsic,glutamate,T3,5,-5
117,792,11660,DNxn095,descending,188,16136,IN04B022,intrinsic,glutamate,T3,5,-5
118,17072,11693,DNxn182,descending,188,16136,IN04B022,intrinsic,gaba,T3,7,-7
119,21643,10336,DNxn096,descending,193,26160,IN23B060,intrinsic,gaba,T3,20,-20
120,11345,11959,DNxn096,descending,193,26160,IN23B060,intrinsic,gaba,T3,16,-16
121,3846,13169,DNxl038,descending,193,26160,IN23B060,intrinsic,gaba,T3,17,-17
122,7393,13244,DNxl038,descending,193,26160,IN23B060,intrinsic,gaba,T3,22,-22
123,17688,16053,DNxl094,descending,212,101877,IN04B032,intrinsic,glutamate,T3,5,-5
124,6004,17358,DNxl094,descending,212,101877,IN04B032,intrinsic,glutamate,T3,13,-13
125,3116,10210,DNxl010,descending,219,11808,IN13B009,intrinsic,gaba,T3,21,-21
126,10828,10526,DNxl004,descending,219,11808,IN13B009,intrinsic,glutamate,T3,5,-5
127,16388,11437,DNxn030,descending,219,11808,IN13B009,intrinsic,acetylcholine,T3,11,11
128,7826,11488,DNxl123,descending,219,11808,IN13B009,intrinsic,gaba,T3,13,-13
129,5939,11968,DNxn181,descending,219,11808,IN13B009,intrinsic,gaba,T3,5,-5
130,2803,12466,DNxl114,descending,219,11808,IN13B009,intrinsic,gaba,T3,12,-12
131,4148,12882,DNxl114,descending,219,11808,IN13B009,intrinsic,gaba,T3,6,-6
132,13863,15839,DNxn165,descending,219,11808,IN13B009,intrinsic,glutamate,T3,17,-17
133,3275,18265,DNxl128,descending,219,11808,IN13B009,intrinsic,glutamate,T3,11,-11
134,12492,38977,DNxl066,descending,219,11808,IN13B009,intrinsic,acetylcholine,T3,5,5
135,15007,10633,DNut060,descending,220,25958,IN06A132,intrinsic,acetylcholine,T3,10,10
136,23477,12155,DNxn123,descending,220,25958,IN06A132,intrinsic,acetylcholine,T3,12,12
137,13921,12259,DNxn002,descending,220,25958,IN06A132,intrinsic,acetylcholine,T3,10,10
138,15465,18431,DNxn052,descending,220,25958,IN06A132,intrinsic,glutamate,T3,12,-12
139,20498,25110,DNxn055,descending,220,25958,IN06A132,intrinsic,acetylcholine,T3,8,8
140,8683,31396,DNut046,descending,220,25958,IN06A132,intrinsic,acetylcholine,T3,7,7
141,4919,51939777929,DNut046,descending,220,25958,IN06A132,intrinsic,acetylcholine,T3,10,10
142,4058,10217,DNxl010,descending,227,14495,IN13B019,intrinsic,gaba,T3,23,-23
143,10828,10526,DNxl004,descending,227,14495,IN13B019,intrinsic,glutamate,T3,6,-6
144,18273,11413,DNxn030,descending,227,14495,IN13B019,intrinsic,acetylcholine,T3,13,13
145,4148,12882,DNxl114,descending,227,14495,IN13B019,intrinsic,gaba,T3,5,-5
146,9625,20464,DNxl101,descending,227,14495,IN13B019,intrinsic,acetylcholine,T3,5,5
147,12161,11136,DNxn076,descending,229,166363,IN18B051,intrinsic,acetylcholine,T3,7,7
148,11905,11221,DNlt005,descending,229,166363,IN18B051,intrinsic,acetylcholine,T3,6,6
149,9717,11270,DNxl129,descending,229,166363,IN18B051,intrinsic,acetylcholine,T3,7,7
150,6154,11427,DNxn163,descending,229,166363,IN18B051,intrinsic,acetylcholine,T3,31,31
151,17072,11693,DNxn182,descending,229,166363,IN18B051,intrinsic,gaba,T3,6,-6
152,5939,11968,DNxn181,descending,229,166363,IN18B051,intrinsic,gaba,T3,21,-21
153,18515,12707,DNxn028,descending,229,166363,IN18B051,intrinsic,glutamate,T3,12,-12
154,5771,12719,DNxn161,descending,229,166363,IN18B051,intrinsic,acetylcholine,T3,10,10
155,22538,12746,DNxn161,descending,229,166363,IN18B051,intrinsic,acetylcholine,T3,15,15
156,23210,15099,DNxl052,descending,229,166363,IN18B051,intrinsic,acetylcholine,T3,10,10
157,16530,21431,DNxn172,descending,229,166363,IN18B051,intrinsic,gaba,T3,8,-8
158,12982,10021,DNxn033,descending,230,166759,IN20A.22A064,intrinsic,acetylcholine,T3,21,21
159,14348,10967,DNxl024,descending,230,166759,IN20A.22A064,intrinsic,acetylcholine,T3,27,27
160,18927,11311,DNxl023,descending,230,166759,IN20A.22A064,intrinsic,acetylcholine,T3,25,25
161,20372,13049,DNxl106,descending,230,166759,IN20A.22A064,intrinsic,acetylcholine,T3,18,18
162,15030,13088,DNxl106,descending,230,166759,IN20A.22A064,intrinsic,acetylcholine,T3,5,5
163,20788,13226,DNxn080,descending,230,166759,IN20A.22A064,intrinsic,acetylcholine,T3,44,44
164,15382,13273,DNxl106,descending,230,166759,IN20A.22A064,intrinsic,acetylcholine,T3,5,5
165,16620,13419,DNxl106,descending,230,166759,IN20A.22A064,intrinsic,acetylcholine,T3,7,7
166,10070,17031,DNxl092,descending,230,166759,IN20A.22A064,intrinsic,acetylcholine,T3,11,11
167,9717,11270,DNxl129,descending,238,23861,IN14A037,intrinsic,acetylcholine,T3,9,9
168,23534,10118,DNxl002,descending,240,21466,IN08B076,intrinsic,acetylcholine,T3,9,9
169,18806,10323,DNut022,descending,240,21466,IN08B076,intrinsic,acetylcholine,T3,63,63
170,2923,11327,DNxn004,descending,240,21466,IN08B076,intrinsic,acetylcholine,T3,20,20
171,404,11349,DNxl003,descending,240,21466,IN08B076,intrinsic,acetylcholine,T3,5,5
172,8605,12934,DNxl013,descending,240,21466,IN08B076,intrinsic,gaba,T3,29,-29
173,12081,15344,DNxn001,descending,240,21466,IN08B076,intrinsic,acetylcholine,T3,36,36
174,23123,20978,DNxl077,descending,240,21466,IN08B076,intrinsic,acetylcholine,T3,17,17
175,9201,21696,DNxl077,descending,240,21466,IN08B076,intrinsic,acetylcholine,T3,17,17
176,9717,11270,DNxl129,descending,270,21398,IN13A053,intrinsic,acetylcholine,T3,10,10
177,4148,12882,DNxl114,descending,270,21398,IN13A053,intrinsic,gaba,T3,5,-5
178,21483,11647,DNxn163,descending,300,29087,IN12B085,intrinsic,acetylcholine,T3,5,5
179,15654,12926,DNxl017,descending,300,29087,IN12B085,intrinsic,acetylcholine,T3,7,7
180,14028,12955,DNxl017,descending,300,29087,IN12B085,intrinsic,acetylcholine,T3,5,5
181,2624,13247,DNxl105,descending,300,29087,IN12B085,intrinsic,acetylcholine,T3,5,5
182,1676,13704,DNxn061,descending,300,29087,IN12B085,intrinsic,acetylcholine,T3,6,6
183,12225,15838,DNxn101,descending,300,29087,IN12B085,intrinsic,acetylcholine,T3,5,5
184,5661,11859,DNxl118,descending,310,28989,IN23B081,intrinsic,gaba,T3,7,-7
185,14500,11887,DNxl118,descending,310,28989,IN23B081,intrinsic,gaba,T3,6,-6
186,18381,11981,DNxl051,descending,310,28989,IN23B081,intrinsic,acetylcholine,T3,7,7
187,2803,12466,DNxl114,descending,310,28989,IN23B081,intrinsic,gaba,T3,10,-10
188,4148,12882,DNxl114,descending,310,28989,IN23B081,intrinsic,gaba,T3,16,-16
189,8679,10829,DNut022,descending,312,19653,IN16B066,intrinsic,acetylcholine,T3,6,6
190,23337,13496,DNut059,descending,312,19653,IN16B066,intrinsic,gaba,T3,7,-7
191,23309,17794,DNut020,descending,312,19653,IN16B066,intrinsic,glutamate,T3,117,-117
192,2119,21344,DNut005,descending,312,19653,IN16B066,intrinsic,acetylcholine,T3,40,40
193,18788,21756,DNut005,descending,312,19653,IN16B066,intrinsic,acetylcholine,T3,35,35
194,20238,12451,DNxl115,descending,316,16996,IN13B035,intrinsic,gaba,T3,6,-6
195,12982,10021,DNxn033,descending,336,35728,IN21A053,intrinsic,acetylcholine,T3,9,9
196,9886,10093,DNxl058,descending,339,24527,IN01A082,intrinsic,acetylcholine,T3,12,12
197,4749,10279,DNxl049,descending,339,24527,IN01A082,intrinsic,acetylcholine,T3,21,21
198,14071,10656,DNxl054,descending,339,24527,IN01A082,intrinsic,acetylcholine,T3,7,7
199,2801,12332,DNxl013,descending,339,24527,IN01A082,intrinsic,gaba,T3,7,-7
200,6597,10061,DNxl053,descending,347,26556,IN04B074,intrinsic,acetylcholine,T3,17,17
201,2518,10126,DNxl002,descending,347,26556,IN04B074,intrinsic,acetylcholine,T3,40,40
202,20969,10476,DNxl011,descending,347,26556,IN04B074,intrinsic,acetylcholine,T3,14,14
203,20816,10995,DNxl064,descending,347,26556,IN04B074,intrinsic,glutamate,T3,7,-7
204,8798,11263,DNxl009,descending,347,26556,IN04B074,intrinsic,gaba,T3,14,-14
205,9054,11440,DNxl124,descending,347,26556,IN04B074,intrinsic,acetylcholine,T3,10,10
206,4308,11541,DNxl122,descending,347,26556,IN04B074,intrinsic,acetylcholine,T3,20,20
207,3746,12735,DNxl111,descending,347,26556,IN04B074,intrinsic,glutamate,T3,9,-9
208,6141,13262,DNxl104,descending,347,26556,IN04B074,intrinsic,gaba,T3,12,-12
