MANC DN name,side,FAFB DN name,source
DNnt001,RHS,DNg09,Stuerner et al.
DNnt002,LHS,DNg10,Stuerner et al.
DNnt002,RHS,DNg10,Stuerner et al.
DNnt003,LHS,DNg49,Stuerner et al.
DNnt003,RHS,DNg49,Stuerner et al.
DNnt004,LHS,DNg53,Stuerner et al.
DNnt004,RHS,DNg53,Stuerner et al.
DNnt005,LHS,DNg73,Stuerner et al.
DNnt005,RHS,DNg73,Stuerner et al.
DNnt006,LHS,DNg89,Stuerner et al.
DNnt006,RHS,DNg89,Stuerner et al.
DNnt007,LHS,DNge020,BANC v514
DNnt007,RHS,DNnt008,BANC v514
DNnt007,RHS,DNg12_d,BANC v514
DNnt008,LHS,DNg12_b,BANC v514
DNnt008,LHS,DNg12_e,BANC v514
DNnt008,LHS,DNg12_a,BANC v514
DNnt008,LHS,DNge019,BANC v514
DNnt008,LHS,DNg12_c,BANC v514
DNnt008,RHS,DNge020,BANC v514
DNnt008,RHS,DNg12_e,BANC v514
DNnt008,RHS,DNg12_d,BANC v514
DNnt008,RHS,DNg12_a,BANC v514
DNnt008,RHS,DNge019,BANC v514
DNnt008,RHS,DNnt007,BANC v514
DNnt009,LHS,DNg12_b,BANC v514
DNnt010,LHS,DNpe009,BANC v514
DNnt010,LHS,DNge087,BANC v514
DNnt010,RHS,DNg10,BANC v514
DNnt010,RHS,DNge087,BANC v514
DNnt011,LHS,DNge085,BANC v514
DNnt011,LHS,DNge145,BANC v514
DNnt011,LHS,DNge071,BANC v514
DNnt011,RHS,DNge113,BANC v514
DNnt011,RHS,DNpe008,BANC v514
DNnt011,RHS,DNge071,BANC v514
DNnt011,RHS,DNge085,BANC v514
DNnt011,RHS,DNpe054,BANC v514
DNnt011,RHS,DNge116,BANC v514
DNnt012,LHS,DNpe011,BANC v514
DNnt012,LHS,DNpe012,BANC v514
DNnt012,RHS,DNpe009,BANC v514
DNnt013,LHS,DNg12_e,BANC v514
DNnt013,LHS,DNg12_a,BANC v514
DNnt013,RHS,DNg12_e,BANC v514
DNnt013,RHS,DNge020,BANC v514
DNnt015,LHS,DNge070,BANC v514
DNnt015,RHS,DNge070,BANC v514
DNnt016,LHS,DNge143,BANC v514
DNnt016,RHS,DNge143,BANC v514
DNnt017,LHS,DNge086,BANC v514
DNnt017,LHS,DNge072,BANC v514
DNnt018,LHS,DNge033,BANC v514
DNnt019,LHS,DNge002,BANC v514
