FAFB DN name,MANC DN name,source
DNge106,DNxl097,BANC v514
DNge107,DNxn125,BANC v514
DNge108,,
DNge109,DNut042,BANC v514
DNge109,DNht001,BANC v514
DNge110,DNut054,BANC v514
DNge111,DNit005,BANC v514
DNge111,DNxn144,BANC v514
DNge111,DNxn109,BANC v514
DNge112,,
DNge113,DNnt011,BANC v514
DNge114,DNut042,BANC v514
DNge115,DNxn109,BANC v514
DNge116,DNut034,BANC v514
DNge116,DNxn109,BANC v514
DNge116,DNnt011,BANC v514
DNge117,,
DNge118,DNut054,BANC v514
DNge119,DNxn157,BANC v514
DNge120,DNxl084,BANC v514
DNge121,DNxl125,BANC v514
DNge122,,
DNge123,DNfl012,BANC v514
DNge124,DNxl021,BANC v514
DNge125,DNnt020,BANC v514
DNge126,,
DNge127,DNxn143,BANC v514
DNge128,DNxl093,BANC v514
DNge129,DNxl120,BANC v514
DNge130,DNxn129,BANC v514
DNge131,DNxl115,BANC v514
DNge132,DNxn151,BANC v514
DNge133,DNxn127,BANC v514
DNge134,DNxn073,BANC v514
DNge135,DNxn172,BANC v514
DNge136,DNxn179,BANC v514
DNge137,DNxn126,BANC v514
DNge138,,
DNge139,,
DNge140,DNxn185,BANC v514
DNge141,DNxn152,BANC v514
DNge142,,
DNge143,DNnt016,BANC v514
DNge144,DNxl081,BANC v514
DNge145,DNxn115,BANC v514
DNge145,DNnt011,BANC v514
DNge145,DNxn116,BANC v514
DNge145,DNxn144,BANC v514
DNge145,DNxn109,BANC v514
DNge146,DNfl032,BANC v514
DNge147,DNfl026,BANC v514
DNge148,DNxn147,BANC v514
DNge149,,
DNge150,DNxn103,BANC v514
DNge151,DNad005,BANC v514
DNge152,,
DNge153,DNxl118,BANC v514
DNge153,DNxl114,BANC v514
DNge154,,
DNge156,,
DNge172,DNad006,BANC v514
DNge173,DNfl021,BANC v514
DNge174,DNfl021,BANC v514
DNp01,DNlt002,Stuerner et al.
DNp08,DNxn028,Stuerner et al.
DNp101,DNxn137,BANC v514
DNp101,DNxn133,BANC v514
DNp102,DNxn176,BANC v514
DNp103,DNlt007,Stuerner et al.
DNp104,DNxn134,BANC v514
DNp12,DNxn030,Stuerner et al.
DNp14,DNxn032,Stuerner et al.
DNp17,DNut025,Stuerner et al.
DNp17,DNut026,Stuerner et al.
DNp17,DNht001,BANC v514
DNp22,DNut027,Stuerner et al.
DNp29,DNxn043,Stuerner et al.
DNp30,DNxn044,Stuerner et al.
DNp33,DNut029,Stuerner et al.
DNp35,DNxn045,Stuerner et al.
DNp36,,
DNp37,,
DNp38,DNxn074,Stuerner et al.
DNp39,DNxl050,Stuerner et al.
DNp40,,
DNp41,DNxn075,Stuerner et al.
DNp43,DNxl051,Stuerner et al.
DNp45,DNxn078,Stuerner et al.
DNp46,DNxn079,Stuerner et al.
DNp47,DNxn080,Stuerner et al.
DNp48,DNxn081,Stuerner et al.
DNp50,,
DNp51,DNxn083,Stuerner et al.
DNp52,,
DNp53,DNxn084,Stuerner et al.
DNp54,DNxn085,Stuerner et al.
DNp55,DNxn086,Stuerner et al.
DNp56,DNfl011,Stuerner et al.
DNp57,DNxn087,Stuerner et al.
DNp58,DNad003,Stuerner et al.
DNp59,DNlt008,Stuerner et al.
DNp60,DNxn088,Stuerner et al.
DNp62,DNxn089,Stuerner et al.
DNp63,DNxn090,Stuerner et al.
DNp64,DNxn091,Stuerner et al.
DNp65,DNxn092,Stuerner et al.
DNp66,DNxn160,BANC v514
DNp67,DNxl052,Stuerner et al.
DNp68,DNxn093,Stuerner et al.
DNp69,DNxn094,Stuerner et al.
DNp70,DNxn098,Stuerner et al.
DNp71,DNxl062,Stuerner et al.
DNp72,DNut056,Stuerner et al.
DNp73,DNxn099,Stuerner et al.
DNpe001,DNxn135,BANC v514
DNpe002,DNxl113,BANC v514
DNpe003,DNxl075,BANC v514
DNpe004,DNut042,BANC v514
DNpe005,DNxn101,BANC v514
DNpe006,DNxl102,BANC v514
DNpe007,DNxl083,BANC v514
DNpe008,DNxn128,BANC v514
DNpe008,DNht001,BANC v514
DNpe008,DNnt011,BANC v514
DNpe009,DNnt012,BANC v514
DNpe009,DNnt010,BANC v514
DNpe010,,
DNpe011,DNxn104,BANC v514
DNpe011,DNxn112,BANC v514
DNpe011,DNnt012,BANC v514
DNpe012,DNut042,BANC v514
DNpe012,DNxn104,BANC v514
DNpe012,DNnt012,BANC v514
DNpe013,DNxn148,BANC v514
DNpe013,DNxn146,BANC v514
DNpe014,DNxn119,BANC v514
DNpe015,,
DNpe016,DNxn174,BANC v514
DNpe017,DNxn142,BANC v514
DNpe018,DNut046,BANC v514
DNpe018,DNxn128,BANC v514
DNpe018,DNut042,BANC v514
DNpe019,DNxn136,BANC v514
DNpe020,,
DNpe021,DNxn163,BANC v514
DNpe022,DNxl105,BANC v514
DNpe023,DNit013,BANC v514
DNpe024,DNxn153,BANC v514
DNpe025,DNxl121,BANC v514
DNpe026,DNxn155,BANC v514
DNpe027,DNxn167,BANC v514
DNpe028,DNxn171,BANC v514
DNpe030,DNxl088,BANC v514
DNpe030,DNxn178,BANC v514
DNpe031,DNxn187,BANC v514
DNpe032,DNxn175,BANC v514
DNpe033,DNit012,BANC v514
DNpe034,,
DNpe035,DNit004,BANC v514
DNpe036,DNxn140,BANC v514
DNpe037,DNxn113,BANC v514
DNpe037,DNxn132,BANC v514
DNpe038,,
DNpe039,DNxn131,BANC v514
DNpe040,DNxn130,BANC v514
DNpe041,,
DNpe042,DNlt011,BANC v514
DNpe043,DNxn159,BANC v514
DNpe044,,
DNpe045,DNxn161,BANC v514
DNpe046,,
DNpe047,,
DNpe048,,
DNpe049,DNxl088,BANC v514
DNpe050,DNxn183,BANC v514
DNpe052,DNxl076,BANC v514
DNpe052,DNxn189,BANC v514
DNpe053,DNxn177,BANC v514
DNpe054,DNut046,BANC v514
DNpe054,DNht001,BANC v514
DNpe054,DNnt011,BANC v514
DNpe054,DNut042,BANC v514
DNpe055,DNxn102,BANC v514
DNpe056,DNxn168,BANC v514
oviDNa_a,,
oviDNa_b,,
